Timestamp:;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;
Sample 0;6.4954233;225.01405;394.05786;786.74;1440.8755;1524.453;1600.3776;1581.5698;1738.2153;1913.1705;2252.2405;2568.8215;2636.5298;2779.3857;2959.2383;3133.9968;3164.245;3319.8525;3353.3323;3300.2905;3248.094;3238.8638;3297.1658;3388.0115;3490.8079;3477.5237;3538.047;3547.3992;3615.537;3631.4363;3662.453;3706.152;3820.5698;3791.1006;3765.471;3791.051;3857.782;3852.8748;3896.894;3927.7844;3983.517;4010.8848;4055.0164;4102.34;4073.7273;4028.2595;
Sample 1;657.4726;1375.6921;1598.2535;2089.3772;2621.591;2555.7834;2820.9407;3076.391;3414.3333;3503.2717;3687.644;3848.0425;3971.8892;4030.089;4065.1113;4123.4434;4237.347;4111.3906;4070.782;4155.35;4231.0005;4145.7935;4161.138;4232.4424;4293.134;4319.2646;4352.1704;4390.019;4425.5127;4373.2305;4392.1514;4469.23;4394.704;4291.5366;4266.7515;4301.77;4341.0815;4385.276;4381.2124;4383.3584;4404.34;4437.237;
Sample 2;916.0436;1947.2993;1909.5846;2371.2998;2911.4165;2946.1008;3114.517;3389.4844;3671.362;3772.8271;3930.7378;4046.3884;3924.9456;3921.7314;3946.2114;4299.48;4136.5703;4054.9346;4102.292;4165.1733;4064.3608;3864.7417;3760.5537;3746.9863;3797.0488;3832.3691;3769.8074;3719.6833;3592.6414;3577.9248;3613.4497;3674.815;3731.6985;3733.8625;3760.493;3803.92;3855.5823;3917.7769;3883.0225;3893.758;3923.6487;3908.138;3918.0674;3943.1846;4002.3901;
Sample 3;1108.273;1792.2888;2916.7769;3448.885;3032.151;3115.989;3435.7063;3708.7969;3753.5984;3795.5576;3951.7986;4084.2456;4102.271;4145.0283;4177.027;4228.4863;4368.767;4311.0205;4257.7646;4266.171;4235.1724;4234.131;4266.906;4340.0483;4334.08;4350.0347;4373.282;4413.2217;4401.408;4404.3237;4406.694;4586.1475;4486.2627;4460.87;4486.598;4519.847;4484.592;4480.694;4503.446;4540.7354;4575.0986;
Sample 4;563.1186;1845.2925;2731.208;3450.2573;3434.6238;3701.3308;3896.3398;3978.6548;4096.7104;4251.117;4387.519;4404.143;4492.575;4527.988;4315.072;4174.297;4103.472;4117.7705;4145.058;4099.467;3999.2559;3795.4773;3690.0078;3659.1313;3725.0085;3802.0503;3853.4072;3875.8164;3922.422;3966.367;3983.8303;4030.1772;4001.2542;3946.808;3855.04;3807.2087;3778.372;3796.5862;3820.9019;3891.6184;3813.5762;3759.0337;3743.964;3775.8186;3807.803;3840.0388;
Sample 5;957.28644;1840.8756;2694.9172;3338.1172;3428.3652;3558.0583;3775.729;4058.8335;4102.3516;4209.3037;4282.2935;4346.097;4374.5566;4443.421;4503.882;4438.6006;4419.5654;4549.362;4638.587;4447.208;4403.3125;4358.9907;4298.8755;4310.525;4272.902;4270.0615;4302.255;4348.9326;4415.17;4407.878;4436.278;4485.307;4448.331;4474.965;4504.5405;4465.7686;4405.945;4382.1387;4399.118;4435.3096;4463.722;
Sample 6;1038.961;1981.0172;2045.5051;2506.289;2016.5046;2441.752;2885.6604;3125.0154;3209.001;3303.3916;3415.77;3567.618;3618.0493;3673.2305;3761.6755;4045.3164;3795.1836;3683.0815;3617.398;3558.2307;3497.667;3491.72;3538.2888;3539.2705;3560.7979;3606.021;3690.33;3705.9382;3794.5732;3853.6643;3856.3938;3877.0237;3846.7268;3874.464;3908.2666;3895.287;3913.898;3947.3044;4004.0115;4039.5151;4060.6743;4103.258;
Sample 7;1301.1791;2129.6848;3075.894;3660.4807;3864.8037;4029.3745;4206.231;4192.8223;4268.385;4361.3125;4392.361;4368.807;4378.542;4408.1313;4740.531;4616.3345;4447.238;4319.6953;4208.5234;4167.3936;4220.2026;4045.651;3959.834;3990.486;3925.9082;3910.6868;3976.8687;3944.854;3962.4656;4017.7886;4088.099;4047.343;4100.9375;4143.6553;4190.9326;4205.92;4224.047;4229.7954;4236.375;4307.219;4292.413;4235.9414;4204.3877;4211.61;4239.6553;
Sample 8;977.64984;1432.1948;2656.249;3295.585;3300.4358;3529.831;3730.4336;3869.6511;3799.0286;4016.3723;3961.5884;4024.1387;3949.3662;3952.0222;4055.1812;4156.9336;4132.34;4161.9424;4192.2886;4216.4736;4325.953;4372.0327;4323.319;4247.095;4178.0103;4052.065;4019.8945;4040.1477;4099.228;4172.697;4137.9883;4189.197;4230.3623;4127.9727;4064.9;4079.3293;4072.2961;4038.4377;4042.717;4007.0774;4014.7214;4042.305;4060.1123;
Sample 9;1275.5936;2059.5232;2013.2635;2487.6885;2290.7815;2405.436;2698.959;2662.9417;2808.0352;3054.898;3116.022;3198.2327;3355.2285;3466.1042;3187.7566;3096.8054;3181.1265;3294.2488;3423.2017;3541.1528;3589.9106;3660.264;3719.2178;3761.798;3837.2373;3897.607;3962.2595;3949.0068;3982.8262;3939.3943;3949.4248;3883.9768;3898.8394;3946.3682;4005.8274;3980.4822;4019.8054;4035.589;4076.9658;4081.2852;4022.7974;3976.291;3931.7205;3928.9695;3947.829;3907.9834;3870.124;3832.1628;

Sample;Average
Sample 0;4013.7834
Sample 1;4506.0166
Sample 2;4055.6353
Sample 3;4560.255
Sample 4;3851.739
Sample 5;4511.526
Sample 6;4135.179
Sample 7;4257.0493
Sample 8;4152.712
Sample 9;3828.711

Total max:;4560.255;
Total average:;4187.2607;
