Timestamp:;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;
Sample 0;224.37755;951.80133;1584.3503;2112.4531;2755.777;2962.1648;3055.486;3218.225;3326.2305;3299.095;3408.935;3464.0046;3485.5615;3532.4004;3617.0835;3708.18;3579.3076;3491.6445;3430.1736;3446.7715;3411.6726;3398.6455;3421.113;3512.5273;3569.084;3572.085;3614.1707;3661.2363;3689.2803;3708.5356;3749.1528;3791.2483;3833.925;3849.8513;3884.7944;3815.6309;3792.3638;3748.038;3744.3154;3707.235;3692.082;3697.5596;3740.1553;3779.0642;3789.2185;3816.2297;3842.107;3850.8054;3906.4097;
Sample 1;1179.8251;1784.4418;2855.6199;3503.7075;3509.8901;3620.7717;3788.9185;4036.4026;4080.0042;4213.7725;4324.267;4392.7944;4416.7993;4512.8867;4508.956;4372.199;4289.3467;4365.628;4444.493;4522.7085;4532.474;4562.1436;4606.295;4646.5503;4677.866;4567.722;4473.633;4388.6436;4367.6597;4307.49;4288.586;4320.8857;4367.8545;4412.644;4396.097;4424.096;4456.3525;4458.614;4477.6934;4495.6226;4505.974;4611.9883;
Sample 2;1141.0155;1987.4534;3029.3687;3676.4302;3763.196;3970.7068;4130.6777;4454.744;4582.366;4734.9956;4818.05;4798.7217;4820.1084;4660.7974;4663.7676;4677.838;4706.114;4560.9004;4427.9917;4299.4595;4190.4346;4085.015;3995.3525;3986.8113;3940.0688;3910.7366;3938.1743;3974.1675;3937.245;3936.7688;3995.6177;4068.1785;4089.5662;4112.8022;4144.044;4223.8564;4256.6157;4313.663;4352.512;4350.242;4281.5215;4253.299;4207.746;4192.584;4145.0693;4102.495;4098.313;4113.888;
Sample 3;1261.7905;1842.9402;2796.134;3343.7837;3387.5266;3493.5347;3888.0103;4256.241;4290.178;4426.57;4561.0317;4652.598;4721.1094;4841.9473;4839.1543;4911.88;4902.4087;4750.3506;4608.572;4443.801;4400.3535;4296.2246;4266.1064;4289.901;4212.7847;4187.8345;4128.5854;4104.6045;4143.058;4100.26;4081.463;4044.1782;4056.364;4104.96;4161.3726;4096.4595;4072.1067;4017.1533;4004.0388;4028.2234;4064.6606;4045.1145;4053.412;4097.9824;4166.0566;
Sample 4;1339.4532;2153.7397;3016.854;3617.0034;3657.3608;3780.2935;3971.1943;4263.8833;4334.7397;4450.5576;4501.1753;4543.4277;4524.4175;4542.4595;4406.648;4630.577;4677.0923;4561.1836;4563.0;4602.619;4527.579;4514.7;4566.075;4617.756;4634.217;4661.2734;4683.4507;4666.5264;4682.0015;4677.19;4681.0596;4849.469;4751.71;4696.1978;4625.109;4590.398;4541.032;4525.387;4555.534;4603.8823;4640.6367;
Sample 5;1113.3862;2013.6913;2833.5469;3488.2898;3576.6042;3686.9075;3988.7637;4211.8613;4230.309;4315.4326;4433.5527;4490.514;4542.4185;4588.9272;4581.888;4620.918;4677.0786;4837.5137;4694.001;4557.996;4488.951;4521.8887;4573.1826;4619.8633;4614.298;4629.795;4654.15;4728.581;4723.0605;4741.3213;4757.879;4749.8745;4778.7017;4733.2944;4734.866;4771.5225;4732.7227;4718.0938;4732.6787;4773.3086;
Sample 6;1170.314;2155.7297;3089.1277;3536.9814;3558.4773;3670.7852;4022.4058;4264.447;4287.6636;4323.9634;4319.9424;4249.4565;4063.736;4022.683;4077.511;4129.067;4207.5425;4204.1353;4217.115;4240.5044;4328.8228;4346.945;4364.9736;4387.987;4443.6465;4436.3657;4337.5444;4308.3525;4325.591;4232.867;4194.8145;4128.481;4109.8306;4128.6943;4168.3745;4150.358;4166.2427;4185.9766;4222.005;4254.472;4293.5645;4328.0483;4367.571;
Sample 7;1118.5309;2196.601;2136.3982;2731.3396;2415.4746;2535.5613;2905.588;3210.073;3521.1135;3634.6501;3791.8674;3955.1123;4112.2915;4240.1704;4312.3584;4455.874;4294.316;4139.849;4025.887;3928.9954;3917.003;3953.6191;4010.2822;3988.8591;3896.5112;3825.0793;3818.705;3833.2659;3768.627;3674.4844;3654.8955;3671.3418;3620.4277;3581.1826;3581.2832;3608.79;3548.0203;3534.9697;3563.4443;3607.6143;3599.652;3639.793;3683.278;3707.494;3719.1482;3738.7703;3799.4998;3886.2395;3889.8855;3892.5112;
Sample 8;1215.8898;2087.99;2681.52;3247.7144;3235.7446;3344.5186;3656.4324;3908.963;4034.4346;4199.649;4300.7314;4385.177;4400.718;4427.018;4519.813;4665.047;4460.7646;4409.2495;4421.321;4459.3926;4446.045;4446.6284;4472.429;4570.0283;4589.3086;4617.463;4630.992;4638.1733;4611.1978;4634.9624;4634.605;4758.0635;4666.2236;4623.1094;4624.871;4650.9844;4632.1987;4630.495;4629.3394;4655.333;4662.2026;
Sample 9;1244.544;2298.8518;3405.6428;2921.8064;2992.4888;3328.8438;3670.7168;3944.567;4025.806;4071.2568;4212.0586;4416.7085;4518.924;4611.0684;4688.143;4678.0776;4756.874;4896.019;4949.001;4988.7446;4830.016;4761.295;4753.958;4676.1904;4653.051;4679.886;4733.213;4789.9907;4809.4307;4838.421;4867.251;4898.9414;4938.1685;4973.1416;4877.441;4806.612;4817.8267;4849.018;4871.348;

Sample;Average
Sample 0;3907.7688
Sample 1;4613.429
Sample 2;4095.692
Sample 3;4213.942
Sample 4;4670.1255
Sample 5;4806.1904
Sample 6;4411.729
Sample 7;3872.5842
Sample 8;4716.414
Sample 9;4903.6074

Total max:;4903.6074;
Total average:;4421.1484;
