Timestamp:;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;
Sample 0;238.1934;881.2226;1485.9803;2332.069;3024.0107;3228.5728;3464.0906;3737.9458;3822.3105;3901.9636;4010.0315;4154.063;4003.0461;3825.74;3811.4978;3884.4692;3972.8813;3910.484;3860.3054;3942.911;4041.494;4131.277;4087.5457;4066.4163;4140.079;4226.3726;4197.922;4178.4214;4216.177;4291.7686;4270.7554;4274.5786;4317.3525;4431.3613;4422.699;4347.2417;4285.4443;4223.8105;4169.778;4091.9004;4074.436;4062.9294;4033.7063;4009.6765;3985.1226;3993.37;4023.4707;
Sample 1;835.5529;1523.5574;2719.3086;3351.908;3489.8042;3617.2942;3903.8965;4222.0107;4235.9653;4380.893;4513.3013;4577.349;4681.5356;4520.374;4432.907;4318.8833;4189.765;4176.11;4262.86;4344.6084;4321.91;4356.1226;4393.1284;4468.816;4482.727;4526.5576;4582.669;4622.0386;4641.812;4646.35;4599.3315;4604.586;4569.7275;4563.605;4593.0073;4641.8916;4676.154;4682.2515;4718.3584;4742.554;
Sample 2;1152.148;1997.6078;3025.4153;2792.8093;2675.39;2878.7249;3217.174;3507.833;3749.0208;3750.2502;3836.9058;3945.9067;4033.9275;4031.4812;4077.7598;4098.1357;4193.8057;4337.965;4251.8506;4281.4155;4307.2505;4200.4277;4099.5493;4076.3198;4107.507;4155.077;4109.7617;4112.252;4150.351;4217.7344;4220.385;4253.373;4271.7285;4321.1445;4342.825;4366.267;4379.4097;4411.4355;4324.25;4302.1353;4244.2734;4230.383;4254.1333;4280.678;
Sample 3;1201.7802;2149.2327;3121.119;3706.2258;3824.5015;3935.5137;4196.9565;4237.2383;4385.3394;4513.656;4613.817;4614.7324;4652.8286;4812.4575;4726.002;4630.2;4588.8247;4490.6157;4499.9873;4469.9136;4328.3433;4262.499;4237.288;4214.6025;4165.163;4107.4214;4035.873;4024.6792;4080.915;4132.2646;4201.3076;4205.6133;4245.0254;4284.8906;4339.5405;4372.2363;4386.505;4454.2607;4377.8887;4341.7515;4329.914;4333.0083;4353.79;4381.015;
Sample 4;1482.7587;2408.3254;3343.8767;3410.9824;3517.2944;3891.5347;4126.606;4344.3267;4421.5684;4518.355;4595.7173;4612.914;4678.218;4677.535;4734.674;4801.65;4869.2007;4860.239;4690.653;4644.3213;4670.923;4710.558;4746.06;4727.475;4704.9556;4771.4297;4817.6665;4828.0117;4834.4683;4870.977;4870.6016;4878.2686;4885.229;4894.384;4909.4634;4872.386;4876.9854;4892.7676;
Sample 5;1137.1917;2030.6658;3016.3162;3610.2068;3743.4282;3882.5115;4069.543;3839.5056;3692.9617;3675.4412;3841.7842;4033.2104;4056.2585;4121.0884;4219.5303;4272.372;4327.1455;4359.423;4402.9224;4575.74;4434.804;4357.018;4341.0093;4244.368;4154.988;4072.4287;3982.543;3953.2063;3951.7795;3893.2234;3831.09;3790.7488;3796.7876;3798.7078;3734.169;3695.4395;3654.8384;3658.8748;3687.051;3734.963;3749.1584;3762.735;3799.1038;3846.7651;3857.9932;3888.1792;3927.1865;3972.379;
Sample 6;1066.8662;1959.5404;1950.1448;2349.3083;2863.1873;2994.4531;3213.1836;3537.1985;3848.2446;3961.7375;4090.524;4227.3354;4344.261;4435.9946;4374.1196;4279.175;4182.637;4072.3809;3964.6147;3869.655;3822.9412;3848.2913;3915.1748;3909.8752;3898.6104;3986.0566;4070.6274;4086.8005;4123.863;4175.201;4218.4365;4255.921;4315.609;4370.349;4428.8696;4466.5435;4483.0903;4417.097;4410.618;4445.7456;4496.5586;4545.376;
Sample 7;1161.7106;2098.9639;3138.4695;3623.7085;3544.2402;3647.0417;3923.7568;4155.392;3846.4504;3753.456;3858.9326;3937.3738;4044.366;4031.6057;4066.79;4138.3706;4234.7256;4232.7744;4301.871;4340.128;4419.4966;4455.9814;4522.1943;4406.1216;4327.0967;4264.2446;4249.3257;4281.2783;4319.2466;4362.3936;4363.9683;4374.212;4410.751;4451.5513;4471.247;4506.3843;4539.076;4556.334;4551.762;4477.3584;4418.649;4381.414;4380.5767;4399.8057;
Sample 8;1330.2944;2214.3142;2129.1953;2532.768;2284.094;2507.6003;2908.4436;2784.1414;2687.2998;2611.1277;2708.8406;2724.566;2805.4414;3056.038;3251.3264;3450.6025;3471.163;3570.8315;3670.1387;3721.6787;3788.9648;3822.4531;3872.9587;3896.7048;3928.6355;3986.6956;4241.679;4149.6074;4064.969;3992.5403;3939.497;3936.4033;3982.796;3973.0342;3981.1382;4021.942;4089.4841;4086.1816;4140.123;4175.2783;4235.946;4265.626;4296.43;4327.014;4273.428;4232.914;
Sample 9;1346.5365;2341.372;2232.3547;2633.761;2576.0842;2866.431;2737.3984;2868.5083;2759.707;2859.5598;3099.2983;3101.6467;3160.2964;3321.9482;3504.9978;3582.0027;3667.3743;3736.0952;3880.131;3909.9692;3995.2156;4074.295;4147.903;4152.0015;4279.921;4333.408;4347.694;4367.975;4291.0522;4277.1826;4232.7383;4227.2134;4262.6445;4336.9043;4398.575;4407.253;4437.019;4473.3364;4502.5327;4542.343;4585.422;4605.584;

Sample;Average
Sample 0;4041.6614
Sample 1;4766.4556
Sample 2;4313.8125
Sample 3;4391.5503
Sample 4;4912.4717
Sample 5;4005.1267
Sample 6;4550.802
Sample 7;4419.05
Sample 8;4226.8467
Sample 9;4659.365

Total max:;4912.4717;
Total average:;4428.715;
