Timestamp:;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;
Sample 0;133.59375;940.65765;1910.8452;2561.137;2714.461;3097.5203;3290.796;3453.32;3557.6995;3838.7432;3604.4292;3482.7722;3366.437;3333.837;3391.8318;3362.015;3381.8938;3439.712;3488.712;3652.9963;3647.0693;3677.5957;3599.3447;3577.0632;3527.133;3517.556;3574.7588;3661.1736;3636.3618;3540.869;3498.8518;3535.2178;3587.4568;3636.652;3634.8972;3637.4475;3674.7402;3732.485;3731.1538;3781.2795;3814.687;3849.4888;3877.344;3918.301;3957.3052;3949.4458;3928.2068;
Sample 1;927.60596;1699.1111;2659.9595;3219.6658;3240.3625;3397.6665;3548.1064;3802.6448;3893.539;4035.1018;4150.697;4211.377;4287.2524;4379.8193;4223.8657;4089.3293;3969.046;3927.648;4009.2773;4093.2163;4171.6514;4175.2827;4180.2046;4140.8823;4055.0452;4023.9878;3949.8467;3941.4324;3990.4885;4044.248;4105.5513;4094.8374;4140.934;4159.4834;4169.189;4198.9077;4188.869;4133.5483;4088.5728;4084.8862;4061.194;4048.805;4084.7559;4117.242;4165.2173;
Sample 2;1352.2614;2131.17;3060.4333;3658.9443;3867.289;4054.0972;4280.764;4269.711;4428.7725;4526.5005;4691.782;4724.2593;4835.7925;4904.1675;4906.0117;4984.677;4926.941;4842.204;4748.66;4688.2095;4763.814;4817.7188;4804.108;4799.393;4842.513;4887.422;4904.747;4918.2812;4923.89;4936.427;4971.456;4863.91;4778.8765;4696.6606;4652.9565;4654.0684;4614.0044;4599.811;4622.7783;4600.046;4537.943;4478.144;4444.6895;
Sample 3;1167.8547;1961.2478;2931.3572;3445.5127;3561.692;3597.447;3782.8386;4025.9033;4113.4077;4193.385;4287.4707;4377.199;4378.504;4508.0;4583.386;4554.956;4388.655;4247.7974;4156.174;4141.896;4136.5127;4066.5151;3998.6147;3985.388;4050.0698;4116.3193;4154.3955;4195.037;4232.351;4273.7397;4297.8623;4328.165;4344.7847;4381.959;4394.848;4326.042;4262.7275;4204.9775;4145.454;4115.883;4114.1367;4083.6045;4076.8032;4106.581;4087.8113;4041.6804;4019.1997;4024.182;
Sample 4;1105.3698;2021.2035;1999.3417;2407.668;2906.644;3051.4055;3281.382;3600.5552;3928.5745;3937.9392;4057.7844;4269.4834;4359.4443;4457.584;4602.606;4717.0107;4806.036;4892.9263;4911.9663;4953.4585;5002.6924;5073.512;4937.4985;4814.2617;4768.416;4789.3345;4654.6997;4602.0605;4620.8696;4537.879;4510.8276;4526.3105;4498.79;4498.9917;4520.226;4559.9336;4561.852;4583.711;4611.0776;4642.1597;
Sample 5;1370.8912;2172.656;3090.5776;3552.9412;3071.892;2946.325;3058.9568;3267.3042;3525.062;3601.696;3633.065;3743.5637;3898.3105;3998.4534;4111.475;4186.588;4196.3096;4232.0156;4317.8228;4434.833;4496.3325;4389.4536;4353.6543;4267.582;4193.2764;4158.2495;4215.895;4279.916;4337.132;4343.1777;4389.005;4420.0317;4431.3857;4449.8237;4484.103;4407.0776;4339.6875;4296.7153;4294.8027;4288.1367;4252.291;4255.1426;4280.4854;
Sample 6;1226.5215;2208.9104;3087.285;3533.088;3704.365;3882.8032;4110.814;4354.6655;4385.5293;4472.916;4530.7866;4421.997;4233.3237;4121.1274;4075.8542;3981.6;3948.9507;3881.481;3786.8042;3776.9197;3876.2021;3968.5427;3977.8086;4010.039;4069.32;4166.8975;4171.14;4271.8003;4338.821;4369.34;4411.7593;4460.7437;4519.616;4524.393;4560.0645;4482.7695;4470.615;4424.384;4409.4556;4443.9805;4486.924;4525.9053;
Sample 7;1117.1708;2020.0461;3032.6543;3561.7502;3550.1462;3689.4688;4020.615;4282.626;4340.2095;4396.3574;4405.1167;4435.826;4451.2344;4463.9805;4766.115;4785.5894;4725.787;4628.604;4489.5176;4357.1357;4324.69;4362.3774;4294.7227;4252.4023;4257.2437;4202.002;4180.7056;4226.593;4275.305;4260.412;4286.0977;4281.087;4322.4233;4334.6606;4338.234;4320.168;4382.35;4442.9883;4403.031;4419.75;4437.0747;
Sample 8;1188.8859;2107.777;2906.7563;2689.4329;2593.6821;2689.8716;3035.8735;3380.8599;3639.9272;3707.8862;3846.8381;3964.6648;4132.0913;4198.4067;4266.7163;4310.2964;4312.03;4352.855;4408.309;4464.147;4481.3213;4542.497;4565.104;4479.4883;4461.8555;4439.2153;4351.157;4274.197;4221.2627;4229.171;4182.057;4162.2524;4223.9917;4240.4785;4157.73;4116.6323;4119.0312;4154.325;4195.5586;4191.5366;4204.0083;4234.1455;4291.6104;
Sample 9;1274.7574;2138.3857;2046.5568;2445.2295;2472.8083;2652.325;3096.289;3415.7378;3762.8022;3868.1267;4041.111;4169.2163;4242.058;4321.7954;4373.0884;4478.0356;4576.4355;4484.239;4488.936;4528.7188;4514.0996;4518.0835;4582.275;4554.9854;4611.426;4646.1973;4728.8306;4752.873;4786.678;4799.1665;4798.7563;4808.56;4804.344;4958.5195;4867.6113;4835.766;4803.254;4730.866;4664.5176;4621.9785;

Sample;Average
Sample 0;3928.7175
Sample 1;4177.502
Sample 2;4443.516
Sample 3;4034.1938
Sample 4;4691.653
Sample 5;4285.1514
Sample 6;4546.219
Sample 7;4459.5474
Sample 8;4355.9414
Sample 9;4615.5054

Total max:;4691.653;
Total average:;4353.7944;
