Timestamp:;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;
Sample 0;42.536194;649.09875;849.5883;1041.8417;1363.9369;1895.7784;2072.0886;2245.946;2501.903;2688.0146;2908.399;2994.0706;3076.1973;3301.0054;3264.9932;3241.0544;3245.9224;3300.823;3378.9414;3492.7393;3536.9868;3613.3103;3663.9797;3728.76;3772.8037;3753.2112;3700.2976;3721.6958;3723.8552;3721.7927;3736.435;3748.8037;3787.379;3791.4893;3818.944;3840.9043;3877.7173;3889.4836;3911.0317;3959.9185;3924.0996;3878.5698;3820.8215;3795.812;3806.8894;3820.703;3853.2417;3890.4536;
Sample 1;1010.0368;1365.6003;2456.169;3125.6313;3196.8647;3468.0613;3573.6782;3688.6812;3786.8618;3847.6794;3857.7434;3824.0945;3898.5793;4075.6392;3944.9258;3940.633;3977.9326;3945.7659;3934.5662;3967.7288;4020.501;4127.8433;4126.575;4165.9746;4171.459;4172.204;4164.2437;4134.157;4152.7383;4213.731;4188.4644;4207.461;4244.309;4300.6777;4312.7646;4329.381;4334.0757;4311.899;4303.8833;4291.1245;4332.195;4277.801;4225.079;4202.998;4182.568;
Sample 2;1331.6777;1820.4196;1856.796;2261.3428;2651.0515;2716.8025;2849.6208;2926.3428;2921.5288;2810.2742;2708.5808;2632.0735;2625.081;2737.3232;2860.1575;3001.7993;3148.5156;3191.7822;3212.1465;3145.0408;3091.1833;3085.3691;3113.6423;3097.9456;3090.254;3150.8335;3231.642;3311.5442;3362.3765;3404.2686;3449.1702;3496.5251;3534.0596;3568.62;3538.1704;3532.6055;3504.8406;3468.3826;3451.328;3502.4216;3472.675;3441.632;3418.2354;3420.7056;3381.1084;3370.0999;3396.5151;3432.0996;3401.8872;3406.291;3381.1228;3379.9053;3401.4766;3435.5435;3468.761;3510.409;
Sample 3;1134.3468;1835.6139;1902.1282;2324.7144;2753.703;2780.864;2935.8547;3220.8105;3509.8599;3551.101;3693.9897;3813.959;4014.6033;4158.6484;4189.0454;4289.433;4375.728;4225.6763;4110.8604;4013.5952;3949.3535;3970.0469;3937.7554;3908.968;3879.7185;3984.4097;4053.8245;4067.0781;4109.5737;4147.2017;4190.2754;4128.938;4084.2878;4022.708;3999.6016;4016.5261;3998.132;3981.5217;3997.1294;4016.2283;4054.5408;4065.6108;4081.8323;4092.0605;4124.5977;
Sample 4;828.09393;1825.9916;2702.9846;3194.8835;3160.4524;3137.6875;3440.2307;3689.1926;3726.9329;3820.0847;3944.2651;4149.261;4168.8735;4300.8076;4335.5293;4459.6484;4501.465;4501.8623;4584.1475;4650.2354;4520.536;4472.114;4406.545;4303.752;4210.458;4157.945;4098.645;4058.558;4072.431;4092.6477;4148.2754;4176.195;4174.373;4231.397;4271.9834;4280.045;4339.5913;4272.225;4228.909;4199.691;4143.892;4126.0137;4122.1685;4086.77;4068.7712;4035.1667;4018.8352;3979.7756;3952.3188;
Sample 5;1168.4982;2007.3555;2948.4226;3446.1335;3565.569;3768.5361;3927.1638;3966.2434;3828.9495;3593.4978;3443.2485;3446.039;3544.0732;3443.287;3347.707;3263.9326;3266.7493;3365.5164;3468.5588;3590.6687;3604.414;3676.4873;3749.4531;3848.031;3923.868;3999.722;4034.873;4086.0312;3998.3535;3922.6084;3916.5562;3920.4153;3875.8916;3828.2708;3798.3787;3854.5642;3897.4817;3967.7026;3970.198;3977.7097;4027.3105;4019.5835;4022.8367;4045.1204;4079.9636;4121.7495;
Sample 6;998.53296;1854.0298;2716.2354;3287.0022;3370.4539;3516.6936;3759.9885;4053.7927;4042.708;4212.6685;4302.6323;4383.943;4393.124;4412.238;4580.7993;4389.202;4303.548;4334.113;4390.2744;4481.6733;4470.633;4434.658;4445.9683;4509.7236;4551.4033;4588.6006;4610.834;4643.7285;4611.2866;4616.032;4649.5845;4737.311;4639.1626;4598.5356;4607.738;4628.331;4579.274;4570.92;4590.1177;4616.0547;4642.7637;
Sample 7;1111.4775;1928.1959;1930.3319;2422.5808;2368.2278;2337.6035;2460.9153;2417.245;2533.2183;2494.2156;2584.4722;2790.545;2824.4185;2871.5781;3029.1409;3191.5745;3241.1934;3345.026;3455.012;3587.402;3673.4539;3735.2966;3768.181;3824.5642;3967.3796;3908.6663;3935.4685;3896.144;3897.4702;3952.7922;4011.4539;4085.861;4125.35;4144.923;4183.927;4210.2505;4235.1265;4259.292;4320.7744;4245.594;4220.3477;4227.069;4248.768;4278.663;
Sample 8;1175.958;2137.8967;3016.8096;3573.9697;3580.6895;3698.0818;4017.7317;4150.134;4352.1553;4512.4014;4586.739;4649.221;4740.363;4795.4966;4883.2563;4852.8604;4833.7417;4871.146;5149.092;4948.9463;4881.99;4901.3696;4849.567;4811.6016;4859.767;4892.989;4974.0044;4982.45;5023.636;5055.7017;5047.5034;5091.2275;4988.8022;4912.141;4844.7114;4815.701;4846.9443;4861.529;4921.208;
Sample 9;1116.1019;1889.136;2988.1956;3669.407;3609.3591;3664.3804;3962.068;4348.0156;4418.6455;4471.4893;4307.261;4114.3335;4033.4905;3950.4026;3934.8618;4043.5012;4089.531;4175.071;4171.811;4215.703;4273.9536;4312.873;4328.365;4375.1113;4421.5767;4463.7944;4502.518;4536.142;4603.1997;4551.757;4479.688;4408.7954;4337.449;4322.327;4264.214;4226.8345;4217.1865;4234.133;4279.5957;4339.0977;4366.2295;4398.533;4416.8174;4437.5933;

Sample;Average
Sample 0;3907.6008
Sample 1;4172.0034
Sample 2;3520.6123
Sample 3;4168.7075
Sample 4;3943.7388
Sample 5;4163.908
Sample 6;4679.8843
Sample 7;4295.911
Sample 8;4942.3843
Sample 9;4477.308

Total max:;4942.3843;
Total average:;4227.206;
