Timestamp:;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;
Sample 0;182.98169;1360.6166;2176.0254;2800.247;2938.248;3113.8145;3339.3782;3563.9312;3819.1606;3813.7922;3918.4062;3920.7761;3776.8452;3600.743;3530.2373;3571.4492;3672.5757;3762.8418;3761.8167;3758.5776;3816.5305;3853.1936;3925.8225;3893.719;3911.844;3958.993;4024.1514;3926.6707;3855.524;3884.6594;3948.2305;3989.5654;3987.1223;3993.7622;4011.5437;4032.4636;4015.5735;4014.2751;4011.6333;4012.7976;4064.5308;4103.247;4114.638;4084.2126;4085.5298;4102.983;4123.7935;
Sample 1;1203.0133;1758.6326;2374.106;2911.7444;2871.7346;3075.672;3396.1482;3660.433;3916.865;4013.5813;4159.197;4275.4263;4326.336;4147.579;3990.346;3866.4941;3861.321;3762.0457;3757.217;3620.3809;3567.071;3499.1748;3504.5784;3442.605;3457.2627;3408.6953;3322.0095;3304.1968;3367.7;3425.7844;3400.9998;3413.4526;3344.641;3323.003;3288.8357;3255.276;3267.5483;3234.6719;3248.5957;3221.0298;3190.226;3189.5898;3237.2783;3281.333;3335.727;3349.0173;3364.319;3404.3762;3465.823;3489.4946;3509.8252;3554.5369;3579.402;
Sample 2;1232.2614;1926.3969;2959.3982;3511.1797;3595.0452;3767.9292;4142.28;4409.396;4583.5767;4747.2954;4874.1904;4910.998;4992.4697;5079.4575;4829.0703;4729.8774;4698.6934;4552.4146;4416.9004;4320.8906;4303.821;4256.96;4230.7397;4321.93;4408.9087;4439.469;4482.0845;4529.2437;4549.4805;4587.73;4629.559;4684.5283;4677.9795;4708.1406;4632.3506;4569.527;4498.011;4482.399;4496.911;4529.775;4561.3735;
Sample 3;1374.5256;2264.5825;3083.9192;3627.1833;3661.4436;3775.663;3909.662;4176.1167;4298.1143;4405.292;4496.299;4447.7666;4485.547;4513.2983;4564.047;4811.5967;4694.535;4566.681;4566.976;4517.4883;4394.177;4366.09;4345.272;4273.6113;4275.1436;4269.3613;4171.8193;4140.183;4139.7183;4066.8428;4002.003;3953.2305;3955.5457;3904.0078;3900.989;3971.8386;4041.9558;4013.4324;4021.4314;4092.2207;4148.75;4143.228;4153.9053;4208.6084;4275.555;
Sample 4;1315.431;2225.387;3068.2803;3623.2134;3649.3357;3833.3147;4085.002;4255.009;4592.7603;4750.606;4771.452;4484.111;4394.29;4447.6733;4531.368;4481.8564;4487.7314;4535.521;4694.0195;4681.466;4732.3516;4782.786;4794.0293;4838.4536;4867.7207;4801.4053;4670.57;4629.961;4551.0254;4523.497;4444.675;4430.0654;4367.8813;4277.5835;4235.827;4175.9404;4174.1016;4202.109;4241.0864;4276.7725;4310.1973;4371.716;4318.4023;4264.0522;4246.6333;
Sample 5;1215.7921;2163.7507;2083.6472;2432.6028;2934.4075;2663.7656;2732.3425;2642.3413;2739.803;2962.0906;3206.4963;3278.47;3411.1567;3544.9897;3654.0454;3757.1887;3839.6082;3899.4128;3977.9854;4071.2383;4266.3945;4139.5703;4115.315;4177.5034;4226.4795;4294.0454;4273.1655;4290.6494;4327.303;4393.943;4413.347;4452.222;4454.538;4454.4175;4454.574;4453.2554;4538.2456;4591.864;4546.343;4569.3975;4604.748;
Sample 6;1440.0233;2273.6272;2180.1624;2506.5723;2515.4387;2744.0752;3115.424;3461.2532;3682.031;3805.1523;3898.6921;3944.4817;4231.78;4286.504;4330.6875;4257.1626;4133.294;4104.482;4170.65;4268.7866;4332.734;4327.1313;4372.3823;4421.5425;4462.4097;4500.038;4517.314;4556.336;4619.841;4541.2734;4542.653;4561.313;4546.432;4537.203;4563.6367;4617.3086;4631.1636;4655.8364;4688.0234;4624.648;4567.9844;
Sample 7;975.7606;1952.502;2856.611;3408.2397;3509.5442;3752.3013;4007.6006;4323.8257;4422.6694;4514.3657;4638.845;4686.4146;4755.962;4822.918;4859.897;4698.272;4645.1387;4692.0786;4744.6133;4711.3325;4710.9956;4755.068;4834.9736;4839.875;4878.987;4908.74;4948.6284;4968.1714;5006.0806;5026.5166;4992.0566;4899.331;4813.064;4771.389;4706.8213;4674.93;4715.8647;4749.6714;4785.159;
Sample 8;1216.3418;2146.271;3075.805;3656.913;3604.1755;3696.645;3872.0903;4141.5195;4270.6997;4349.4033;4394.9014;4403.6597;4415.623;4510.1006;4594.7544;4390.5586;4334.4424;4378.6294;4448.314;4523.4067;4492.861;4510.85;4531.539;4592.0356;4600.3315;4609.751;4602.044;4602.253;4604.988;4697.138;4701.7363;4643.154;4579.617;4532.7637;4559.7617;4584.02;4629.6606;4631.807;4636.0977;4656.742;4681.669;
Sample 9;1210.1356;2238.2493;2154.8193;2551.7515;2287.6487;2520.1748;2716.111;3019.5159;3357.2764;3351.0881;3449.6855;3704.069;3980.311;4081.8655;4204.0684;4248.2793;4421.074;4414.818;4443.2676;4321.9;4216.0703;4190.1616;4124.206;4123.419;4175.9897;4264.708;4291.066;4332.4146;4379.8535;4450.0527;4497.636;4550.195;4562.1235;4481.711;4457.2427;4482.597;4483.806;4412.2173;4394.696;4384.5317;4324.5376;4269.408;4231.3994;4228.648;4215.784;4182.105;

Sample;Average
Sample 0;4117.0815
Sample 1;3652.948
Sample 2;4601.0537
Sample 3;4327.9272
Sample 4;4249.0903
Sample 5;4641.2
Sample 6;4562.4604
Sample 7;4813.1187
Sample 8;4714.457
Sample 9;4177.057

Total max:;4813.1187;
Total average:;4385.6396;
