Timestamp:;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;
Sample 0;99.16034;866.9833;1829.1008;2427.786;2934.309;3168.4863;3364.103;3551.283;3716.2056;3717.6824;3553.1453;3591.1104;3472.0215;3488.8547;3391.9697;3241.9424;3177.35;3121.927;3151.2961;3230.248;3185.553;3214.177;3167.6997;3155.799;3206.5024;3299.8323;3413.1458;3438.5122;3468.4915;3492.726;3534.301;3565.059;3598.5535;3642.1587;3681.4116;3609.2817;3585.9697;3635.771;3683.336;3746.361;3758.4595;3775.1165;3800.1047;3841.1304;3852.9111;3864.6838;3917.945;3887.1157;3850.3984;3832.2278;
Sample 1;1199.2198;1891.5264;2916.8042;3621.458;3599.3027;3829.2883;3967.172;4131.0127;4039.8345;3949.6965;4023.9744;4169.6733;4142.6294;4205.972;4281.1396;4418.0967;4435.025;4518.204;4549.7007;4577.8315;4582.907;4568.2607;4688.2417;4671.5903;4578.308;4534.6313;4497.54;4436.1597;4434.7266;4410.8506;4409.893;4384.7534;4310.59;4260.966;4264.1655;4226.59;4224.5938;4245.3125;4288.303;4347.8193;4366.5537;4381.5405;4401.8486;4399.9263;
Sample 2;1306.0736;2068.8174;3046.613;3641.7437;3768.876;3994.4326;4128.511;4392.5605;4373.144;4429.4375;4568.9463;4611.8413;4478.0835;4542.5337;4650.5703;4651.7964;4695.366;4770.1475;4849.5415;4829.6675;4945.055;4961.685;4964.6562;4996.034;5036.4653;5053.3555;4946.96;4899.619;4877.571;4893.144;4852.5396;4815.9434;4836.9077;4873.566;4886.364;4905.692;4923.4194;4950.9175;
Sample 3;1255.4348;2202.439;3244.787;3842.8987;3315.6047;3095.7651;2927.354;3020.545;3272.1333;3268.399;3401.719;3491.3413;3368.7014;3302.0493;3350.3945;3337.4392;3370.6968;3499.7856;3600.6565;3658.7175;3731.3088;3792.0986;3872.751;3923.7832;3963.188;3995.2656;4039.9;4171.157;4092.2998;4065.77;4096.1484;4071.801;4071.3767;4107.8506;4164.8125;4182.9844;4211.677;4253.588;4289.202;4318.613;4346.234;4369.1104;4376.844;
Sample 4;1529.8063;2166.948;2663.0015;2910.8718;2827.714;2989.385;2856.9102;2948.0056;3170.4658;3404.6711;3490.0908;3567.8467;3706.0312;3880.3433;3989.0137;4103.2573;4183.6562;4206.182;4242.751;4317.3354;4298.9214;4168.223;4124.318;4170.6265;4225.656;4269.918;4263.7656;4276.966;4279.5405;4342.615;4368.8613;4400.641;4410.62;4428.1597;4434.852;4475.3555;4492.536;4434.344;4384.5303;4349.3643;4373.0767;4392.7363;4420.829;4449.774;
Sample 5;1337.2734;2259.3179;2176.1606;2525.921;2547.5447;2785.7957;3244.141;3588.612;3883.7256;3985.47;4094.6309;4098.355;4373.5967;4298.962;4219.448;4255.604;4330.4937;4303.474;4276.8022;4342.654;4435.0454;4465.51;4498.255;4542.433;4536.317;4593.082;4640.3193;4697.945;4718.293;4765.3955;4719.546;4645.099;4556.7773;4538.728;4533.1265;4473.7065;4473.4014;4511.043;4514.199;4536.297;4596.42;4626.316;4562.32;
Sample 6;1175.4991;2153.628;3057.9583;3560.8948;3586.6501;3745.9753;4161.363;4464.892;4572.825;4720.43;4880.283;4957.97;5000.9365;5027.214;4792.871;4604.598;4470.3306;4448.226;4471.926;4545.1924;4519.1895;4520.041;4596.545;4658.153;4658.3164;4687.721;4726.8223;4749.3394;4784.9014;4793.1978;4852.384;4897.3716;4936.2007;4835.854;4770.9287;4762.4355;4687.056;4618.9214;4554.9443;4537.6743;4547.2334;4570.024;
Sample 7;1297.3132;2177.5906;2083.6538;2430.8384;2947.5518;2683.7195;2761.1436;3056.7327;3368.0598;3395.6907;3489.1526;3659.603;3852.3555;3928.998;4038.9038;4090.0308;4201.722;4262.5884;4316.933;4364.744;4423.387;4445.2812;4410.943;4436.47;4404.0684;4397.502;4427.069;4497.395;4506.483;4519.4307;4553.868;4605.271;4623.3105;4680.8403;4690.907;4746.341;4656.6753;4601.2886;4591.4365;4569.2437;4521.847;4510.5815;4532.63;
Sample 8;1387.5122;2089.082;2114.707;2481.5842;2557.8315;2738.4028;3110.2747;3406.0122;3657.8677;3765.5166;3867.8342;3983.0972;4174.3916;4258.7456;4341.92;4426.2017;4463.734;4397.862;4336.2935;4358.7124;4376.047;4356.1963;4349.727;4411.1377;4483.505;4492.227;4523.2603;4568.643;4590.163;4617.977;4622.812;4618.007;4619.4077;4538.529;4519.2964;4543.153;4500.4526;4504.45;4535.727;4576.8164;4617.043;
Sample 9;1457.8004;2373.974;2286.5488;2663.1284;2462.5505;2400.4353;2611.565;2532.295;2662.4001;2901.0664;3150.3618;2973.5193;2880.6597;2815.8162;2753.6492;2814.5867;2939.9932;2866.9175;2891.9556;2988.8833;2936.458;2976.9246;3049.3574;3028.8184;3055.9424;3149.6826;3256.1897;3353.0352;3400.9346;3506.1467;3592.9446;3631.629;3568.078;3521.34;3525.2415;3490.271;3497.4685;3444.7002;3432.4514;3400.283;3414.5706;3423.227;3465.0107;3453.9385;3417.3154;3386.1296;3359.7825;3367.274;3342.7778;3350.1467;3326.0227;3305.4148;3306.6094;3346.0518;3386.3425;3424.54;3460.945;

Sample;Average
Sample 0;3837.3574
Sample 1;4467.636
Sample 2;5013.499
Sample 3;4461.517
Sample 4;4469.164
Sample 5;4554.273
Sample 6;4576.0728
Sample 7;4533.0713
Sample 8;4635.209
Sample 9;3470.252

Total max:;5013.499;
Total average:;4401.8047;
