Timestamp:;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;
Sample 0;236.14026;978.6067;1503.5654;1998.5637;2616.95;2742.8413;2964.1438;3170.8862;3460.0974;3520.1558;3610.9468;3710.3862;3790.5212;3785.163;3771.2263;4049.9553;3996.3271;3925.85;3887.486;3835.7695;3771.1704;3731.2122;4052.2942;4044.9272;3971.8716;3904.8196;3839.6465;3832.877;3725.0242;3699.3953;3710.0605;3665.7458;3670.036;3720.0383;3704.457;3707.283;3719.6812;3766.0125;3822.9412;3824.5647;3844.736;3911.8882;3855.3118;3810.16;3819.3054;3849.7043;3888.164;3918.1934;
Sample 1;898.1943;1790.494;2715.2654;3317.4153;3212.3105;3299.5498;3558.899;3872.003;3852.393;3954.382;4070.2424;4148.168;4213.337;4260.702;4311.904;4318.343;4283.5923;4484.064;4415.2573;4374.986;4405.3555;4360.692;4385.19;4415.2246;4475.737;4475.522;4485.2773;4534.7603;4543.6704;4516.729;4427.843;4353.542;4333.198;4264.622;4247.5117;4199.7534;4162.3896;4212.5684;4265.3022;4280.005;4311.302;4336.9897;4398.6396;
Sample 2;1403.5193;2098.6042;2070.3115;2019.8601;2016.6132;2045.7087;2163.5874;2486.3708;2808.369;3052.0417;3128.403;3251.2852;3390.2463;3580.2075;3623.772;3690.2913;3753.9878;3874.4285;3866.6204;3893.936;4105.3413;4015.9482;3883.814;3853.7437;3778.5015;3772.4978;3813.2883;3849.5815;3823.6658;3816.4648;3806.1465;3851.525;3875.3926;3895.434;3927.3704;3946.1343;3965.953;3952.6687;3965.1777;4067.0715;4087.0015;4018.633;3996.8286;4008.3735;4030.4678;4059.2173;4095.1897;
Sample 3;1082.36;2042.933;3078.6287;3632.5042;3612.1348;3675.465;3899.6724;4158.5063;4251.187;4332.8574;4419.867;4549.5454;4556.2593;4619.785;4597.369;4593.645;4416.27;4361.473;4235.3286;4210.596;4259.1377;4203.397;4207.049;4249.9375;4314.831;4387.046;4399.4805;4427.6436;4456.938;4493.3647;4515.455;4567.95;4517.4287;4415.669;4383.065;4394.899;4429.7603;4462.873;4457.6323;4466.392;4478.9526;4525.2183;
Sample 4;1232.4;2215.2922;3183.033;3727.8784;3784.5515;3977.121;4068.5403;4306.4946;4290.539;4397.9365;4527.1123;4568.069;4571.618;4470.3877;4406.125;4413.7026;4326.5913;4310.1753;4351.069;4423.0366;4492.8438;4534.9634;4578.633;4609.755;4648.378;4673.345;4714.756;4601.7583;4486.5317;4426.8296;4434.8896;4451.3857;4454.4043;4507.4526;4508.8506;4521.376;4544.458;4542.7715;4576.812;4609.5684;4635.4487;4572.0337;4514.0293;
Sample 5;1187.8436;1908.6329;2798.7107;3316.955;3421.5762;3582.6084;3794.0972;4029.86;4070.947;4141.289;4185.7925;4237.4536;4235.5986;4199.961;4177.941;4402.387;4550.591;4477.0513;4466.0225;4517.0156;4485.189;4479.1846;4510.3623;4576.752;4543.8335;4556.235;4545.7275;4540.645;4508.5913;4494.575;4634.28;4620.6406;4549.217;4518.4277;4531.8477;4542.1157;4600.2256;4607.906;4618.6797;4618.77;4630.5293;
Sample 6;1209.7532;2113.3433;2612.2422;3080.4502;3103.831;3174.4377;3553.081;3896.7485;4043.2039;4206.034;4380.0376;4367.757;4408.0034;4242.958;4236.4756;4248.8677;4209.1924;4196.5103;4286.365;4376.278;4362.7007;4404.9272;4450.371;4522.3647;4556.0713;4611.683;4635.476;4526.8594;4442.553;4418.917;4449.328;4479.7334;4466.2666;4469.7485;4488.646;4556.0356;4571.5015;4595.8;4623.0957;4644.7593;
Sample 7;1173.8318;2044.5171;2886.086;3503.4807;3598.0142;3728.6301;3959.4028;4202.6016;4219.5454;4302.546;4313.0;4377.313;4519.3965;4596.994;4515.595;4365.9727;4227.9004;4173.1963;4237.5454;4313.293;4400.067;4397.0654;4406.551;4456.54;4541.329;4586.1753;4602.874;4627.925;4616.0933;4627.4263;4668.421;4737.1733;4750.1475;4796.431;4729.2637;4652.046;4557.38;4511.969;4453.3564;4436.725;4450.881;4477.7437;4504.9624;
Sample 8;1561.2567;2397.463;2221.0837;2605.1272;2607.11;2799.5955;3179.9956;3516.762;3730.4604;3931.33;4076.249;4148.5547;4236.966;4331.1;4160.4194;4055.5364;4050.3806;3987.1375;3945.6323;4023.3262;4111.3936;4191.453;4222.5396;4261.0986;4308.162;4348.7734;4403.1094;4339.174;4310.188;4264.6133;4250.0884;4293.957;4302.6665;4375.7266;4381.8525;4412.3774;4445.67;4466.6523;4491.5537;4523.98;4494.0293;4437.208;4382.031;
Sample 9;1361.4818;2031.0803;2856.1646;3325.0293;3415.8298;3536.749;3690.9993;3968.4773;4072.855;4200.9077;4330.446;4455.5156;4524.5566;4580.459;4652.8945;4651.78;4486.011;4413.183;4440.4097;4475.2925;4520.5537;4479.3022;4480.84;4515.087;4590.941;4601.8755;4641.779;4675.082;4678.282;4714.6553;4732.5503;4754.741;4669.986;4603.2905;4618.0244;4629.249;4674.1855;4649.7593;4653.416;4669.9033;4708.439;

Sample;Average
Sample 0;3955.0393
Sample 1;4436.2324
Sample 2;4102.0845
Sample 3;4570.3213
Sample 4;4496.888
Sample 5;4688.815
Sample 6;4698.7954
Sample 7;4521.889
Sample 8;4354.32
Sample 9;4764.684

Total max:;4764.684;
Total average:;4458.9067;
