Timestamp:;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;
Sample 0;79.17944;632.7694;1359.3195;1187.2222;1311.9962;1669.7644;1729.7773;1824.6453;2014.4563;2109.885;2355.385;2602.4458;2684.364;2823.3293;2982.4563;3128.4949;3225.0615;3275.0947;3208.8892;3188.9866;3164.65;3223.8774;3206.6946;3263.535;3353.4124;3406.9526;3416.4656;3416.701;3461.6052;3481.0293;3489.1865;3453.604;3391.8503;3376.169;3412.3088;3441.7732;3419.6113;3427.4763;3447.2063;3489.4756;3522.1077;3540.6448;3554.9607;3574.3113;3558.8887;3527.4954;3518.8518;3520.0552;3540.659;3586.913;3632.4497;
Sample 1;672.46545;1029.7689;1818.783;2351.9355;2725.3743;2711.298;2859.6653;3038.0962;3198.1787;3373.7866;3365.166;3455.9873;3644.1284;3490.8396;3406.1125;3346.9475;3378.581;3421.5283;3448.9314;3531.0212;3539.714;3554.9392;3609.2588;3680.6345;3668.377;3694.5598;3698.2136;3802.273;3743.9438;3669.6343;3618.6436;3572.4307;3606.4236;3643.2253;3677.7427;3675.134;3718.698;3713.292;3743.0994;3793.89;3727.8464;3711.8784;3709.8257;3693.3516;3688.6006;3660.8386;3643.8098;3650.3164;3674.8176;3696.368;3726.5032;
Sample 2;1065.0382;1554.7062;2346.2449;2973.3843;2864.5908;3077.1428;3273.7312;3633.2866;3876.4348;3863.8994;3969.5283;4090.062;4127.891;4204.928;4245.8003;4448.317;4246.1626;4152.8096;4166.6226;4201.579;4239.9478;4217.0435;4192.054;4247.899;4317.5513;4347.589;4362.9536;4400.507;4437.798;4440.733;4511.195;4439.347;4398.54;4343.3364;4320.522;4335.19;4353.704;4402.4272;4393.9507;4407.7603;4432.4536;4487.3833;
Sample 3;1135.1404;1945.5024;2956.5273;3572.866;3624.5986;3761.6685;4002.9485;4293.9365;3911.5913;3694.8455;3708.122;3738.0095;3850.8293;3768.7327;3763.9792;3847.9968;3991.583;3855.8232;3755.938;3669.1216;3601.9775;3602.0952;3546.05;3546.6082;3497.3394;3521.0447;3501.51;3500.3442;3553.0874;3641.2385;3670.4685;3709.2273;3763.7925;3846.4724;3866.37;3904.3022;3988.4626;4013.0032;4080.0464;4102.287;4134.1436;4201.2773;4145.1104;4103.635;4100.5684;4124.2466;
Sample 4;1446.5623;2172.3071;2769.5022;3286.4768;3251.5322;3545.5405;3737.1758;3522.5273;3356.0967;3187.676;3208.5562;3368.0544;3474.9797;3603.731;3616.2344;3698.0676;3767.34;3924.1292;3940.2432;3951.4675;3937.8384;4027.0059;4153.2676;4217.28;4233.212;4200.341;4077.9714;3993.2126;3957.111;3979.4607;4023.9365;4058.9463;4043.213;4023.7812;4101.3843;4174.1504;4171.8213;4186.4214;4201.31;4184.396;4162.8833;4151.6743;4315.536;
Sample 5;1240.5956;2266.3306;2188.2485;2536.0046;2619.9426;2800.8088;3247.1375;3585.511;3861.2788;3919.517;4036.7712;4088.5981;4190.0933;4307.663;4409.637;4463.7876;4456.212;4357.4517;4230.7075;4125.8315;4106.8916;4010.532;4002.8088;3888.8372;3860.8381;3917.67;3974.018;4047.2383;4042.014;4066.3489;4102.002;4141.6753;4182.2324;4219.353;4248.189;4289.7603;4324.573;4327.2295;4266.4863;4195.561;4161.615;4183.0146;4219.3184;4261.4097;
Sample 6;1341.7335;2231.2952;2204.818;2638.0251;2328.2234;2396.0156;2761.1145;2691.759;2791.6763;3029.991;3054.9265;3148.2974;3360.0137;3590.47;3646.4026;3756.7568;3844.1272;3953.8933;4029.142;4089.489;4130.197;4184.1025;4260.813;4299.348;4202.326;4158.767;4171.4263;4134.197;4110.966;4082.98;4049.541;4255.919;4261.1187;4235.779;4274.2593;4254.032;4261.614;4280.813;4330.6255;4356.3013;4379.764;4397.399;4411.5205;4473.956;
Sample 7;1510.1566;1977.9357;2802.341;3121.241;3216.6006;3290.9792;3436.848;3729.7942;3888.929;4061.489;4204.852;4228.545;4313.1646;4428.861;4264.37;4194.49;4113.08;4082.2783;4026.4536;3981.5857;4004.4634;4073.8926;4037.6902;4046.339;4107.135;4174.4414;4230.039;4273.7686;4309.2266;4339.2544;4397.5386;4439.292;4467.336;4476.731;4502.8545;4546.0625;4609.611;4588.791;4571.7275;4559.566;4512.417;
Sample 8;1361.1471;1953.8025;2858.7354;3396.8967;3528.5398;3690.786;3932.7788;4128.0254;4136.156;4173.373;4283.453;4351.231;4330.1055;4329.334;4389.758;4504.8423;4318.1475;4265.1714;4289.7603;4344.5454;4415.4507;4428.1104;4447.006;4462.8745;4534.3696;4568.8823;4604.635;4636.421;4644.9243;4687.5503;4575.0835;4504.291;4487.3433;4448.9097;4439.6216;4436.993;4486.528;4528.8438;4524.2866;4524.17;4518.9277;4541.7256;
Sample 9;1214.5813;1972.3007;2880.8738;3340.7756;3305.5408;3538.9558;3684.873;3972.7861;4080.0017;4149.0337;4181.37;4174.7324;4167.8545;4171.0693;4403.6255;4333.9985;4195.2266;4059.6938;3962.5894;3885.7383;3880.9944;3806.348;3741.5999;3678.375;3685.3687;3666.6692;3653.4343;3690.8567;3762.2747;3776.941;3814.6365;3850.1655;3894.8545;3931.089;3960.5996;3969.0664;3994.698;3999.7324;4008.7476;4084.4624;4151.799;4100.8447;4094.4294;4132.5576;4135.8164;4196.415;

Sample;Average
Sample 0;3647.332
Sample 1;3757.6611
Sample 2;4504.9814
Sample 3;4134.042
Sample 4;4404.5396
Sample 5;4310.2983
Sample 6;4487.726
Sample 7;4498.2637
Sample 8;4585.557
Sample 9;4210.6416

Total max:;4585.557;
Total average:;4254.1045;
