Timestamp:;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;
Sample 0;176.04933;919.3493;1435.9615;2049.2954;2672.7454;2882.9646;3116.8572;3189.4033;3306.5881;3328.8972;3417.7717;3864.7612;3717.9421;3588.1155;3419.2166;3291.4106;3214.2158;3137.0083;3117.8164;3175.071;3247.9133;3330.3115;3330.2927;3338.8208;3388.2073;3491.3828;3498.0981;3565.852;3611.785;3631.4258;3652.4663;3672.195;3692.9863;3712.6404;3813.4062;3891.546;3839.279;3828.6863;3863.5764;3833.6187;3842.108;3852.2822;3906.9836;3915.0598;3928.658;3953.405;3984.8015;4016.546;
Sample 1;1180.0758;2042.9979;3073.4568;3770.6462;3658.3904;3789.6494;3974.996;4323.2383;4339.0693;4483.2847;4581.084;4664.911;4676.7954;4742.055;4701.8647;4535.8916;4465.752;4532.668;4611.757;4699.3237;4679.9316;4711.808;4747.143;4753.062;4802.4844;4830.2285;4859.7607;4896.8306;4829.973;4747.0737;4716.511;4616.2744;4583.8267;4615.5166;4661.9814;4705.9473;4679.3423;4687.16;4682.0537;4745.82;
Sample 2;1283.3531;2205.9048;3142.1948;3757.319;3770.6633;3823.3374;4009.2268;4248.4595;4379.2466;4454.5796;4534.162;4591.3926;4715.2456;4588.129;4518.067;4367.529;4255.459;4219.249;4289.762;4349.947;4422.4634;4419.8613;4450.5864;4504.6035;4546.676;4569.3975;4631.116;4674.0225;4587.9893;4508.951;4494.083;4505.1367;4433.972;4370.8145;4347.772;4393.895;4440.9365;4490.3633;4492.222;4518.1274;4550.518;4593.1094;
Sample 3;1571.6953;2301.3372;2195.5042;2535.8906;2553.3652;2738.743;3124.963;3019.3271;2896.4507;2798.3496;2856.9055;2865.634;2912.144;3097.6091;3052.1345;2975.7725;3032.4878;2923.6262;2912.8103;2868.0315;2897.488;2988.4917;3088.179;3131.9893;3222.6575;3301.926;3414.9814;3490.423;3569.1646;3642.9727;3700.8296;3750.8801;3833.9888;3774.1838;3708.007;3686.9805;3643.1938;3648.5288;3688.5813;3744.8145;3742.9338;3767.8103;3815.6755;3884.8984;3922.8752;3972.5588;4018.211;
Sample 4;1360.2009;2259.1467;2119.1643;2500.3677;2618.8457;2804.1335;3181.9375;3489.6582;3730.6707;3880.2847;3998.0518;4098.012;4217.079;4300.6665;4385.2466;4526.048;4511.5117;4564.384;4616.1914;4635.804;4594.119;4495.527;4487.01;4516.8164;4517.252;4506.7197;4514.81;4557.323;4612.5225;4642.9126;4689.9023;4721.143;4636.2827;4601.8887;4608.2744;4561.8354;4548.7554;4593.5747;4549.234;4493.635;4437.9966;4382.728;4368.4805;
Sample 5;1206.1714;2069.2869;2055.539;2427.3591;2921.3513;2608.271;2648.7231;2940.8372;3233.3018;3492.5159;3572.6873;3687.0093;3821.2764;3815.2722;3941.3445;4019.8125;4065.4036;4244.8896;4206.7617;4143.097;4122.4756;4114.73;4065.5461;4055.393;4122.2856;4044.3542;3974.1843;3915.693;3846.8752;3842.2114;3924.6362;4001.8723;4071.559;4091.9436;4124.0493;4165.363;4180.9995;4229.499;4267.1245;4320.552;4343.18;4377.5767;4398.039;4450.406;
Sample 6;1513.0667;2331.7751;2171.4473;2539.9111;2562.0334;2676.2446;3101.297;3462.613;3728.0547;3826.4133;3991.8777;4021.0007;4038.2869;4047.2222;4017.7695;4137.482;4545.4287;4335.2617;4211.831;4096.4463;4000.976;3904.8972;3825.535;3715.5574;3636.4685;3574.114;3512.7576;3459.1504;3405.727;3359.2737;3312.0432;3271.464;3229.713;3193.905;3137.8752;3092.155;3061.441;3031.7788;3004.4177;2977.1335;2952.7112;2927.8835;2905.684;2883.023;2862.8108;2823.8184;2802.3877;2784.1792;2766.7534;2750.2935;2733.7717;2718.8167;2703.6592;2689.8008;2675.549;2662.787;2637.5254;2620.0823;2608.0405;2596.78;2585.8547;2575.0425;2565.0388;2554.8323;2545.5125;2536.0332;2527.0078;2508.797;2496.3198;2489.0085;2480.327;2473.1113;2465.172;2458.6377;2450.935;2444.6292;2437.329;2432.271;2430.0432;2424.2249;2419.3186;
Sample 7;1459.7931;2083.4143;3021.2725;3517.2227;3555.695;3653.6003;3936.949;3698.6077;3511.799;3278.2217;3281.5708;3443.974;3619.7964;3776.8752;3830.36;3912.2224;3999.3274;4137.206;4178.088;4257.6963;4327.534;4385.9395;4253.773;4161.2773;4149.193;4168.2876;4090.8518;4018.5864;3992.3281;3930.9358;3926.1013;3968.446;4005.0063;3984.51;3993.3071;4055.309;4124.411;4134.454;4168.2085;4200.203;4220.803;4248.982;4275.9126;4333.441;
Sample 8;1350.3585;2199.0686;3069.1929;3610.7332;3176.084;3138.285;3367.166;3599.66;3815.4873;3856.0593;3927.4287;4090.5886;4108.0615;4217.53;4280.182;4325.736;4343.7314;4360.3657;4381.773;4606.4785;4452.746;4397.8833;4289.8047;4263.14;4276.4346;4160.9395;4122.1978;4152.603;4185.8003;4242.256;4238.6587;4248.9136;4308.3936;4372.596;4369.514;4399.974;4440.824;4521.7764;4541.2466;4572.359;4604.613;
Sample 9;1513.9655;2324.4531;2218.1033;2543.581;2641.1003;2830.4082;3309.6768;3645.012;3958.289;3994.041;4093.8806;4275.1875;4330.4243;4398.9185;4479.3706;4572.214;4633.95;4599.641;4480.6426;4426.6514;4253.1855;4184.1743;4126.1226;4129.282;4184.539;4242.471;4230.561;4244.7925;4333.701;4397.0103;4408.898;4419.4062;4441.8374;4478.9795;4517.428;4457.3887;4449.582;4411.679;4383.8735;4436.423;4496.0166;4553.467;

Sample;Average
Sample 0;4061.3342
Sample 1;4779.715
Sample 2;4587.7666
Sample 3;4068.6462
Sample 4;4327.852
Sample 5;4398.582
Sample 6;2415.0156
Sample 7;4389.228
Sample 8;4630.68
Sample 9;4556.1826

Total max:;4779.715;
Total average:;4221.5;
