Timestamp:;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;
Sample 0;146.54832;1219.9076;1783.1302;2277.6042;2888.6829;2928.4602;3013.9543;3121.1304;3372.146;3311.549;3272.2104;3178.447;3055.998;3705.4626;3674.2886;3894.1157;3941.2852;4001.0708;3859.6748;3745.5947;3660.3308;3584.3655;3514.2385;3511.435;3569.11;3531.4097;3525.1755;3611.18;3657.342;3755.5088;3777.116;3824.1555;3845.403;3845.1887;3855.0728;3915.0515;3945.5889;3884.1162;3851.7065;3847.9302;3801.1445;3759.575;3734.8662;3746.0598;3782.9443;3773.4746;3786.4607;3807.8655;3842.9932;
Sample 1;1177.6584;1714.9742;2787.8438;3332.0137;3405.3347;3546.5552;3654.1143;3882.7764;3950.7598;4109.5317;4209.6753;4258.415;4033.625;3980.6208;4046.3809;4097.967;4203.205;4181.2773;4211.94;4241.302;4341.9707;4391.55;4446.206;4371.9077;4242.127;4228.4517;4151.1387;4147.7607;4193.2607;4240.7397;4227.2676;4233.8164;4275.996;4333.2627;4344.7734;4378.9873;4416.2524;4416.4907;4453.2637;4452.879;4419.947;4373.651;4346.576;
Sample 2;1155.0201;1917.0057;1998.6925;2408.9734;2379.0698;2584.464;2994.7988;3418.5166;3786.4116;3924.948;4045.2593;4178.0537;4286.6367;4327.884;4398.298;4430.6016;4476.7363;4576.3604;4528.995;4433.192;4423.396;4480.0205;4543.6;4517.8877;4520.4946;4596.685;4652.3506;4694.0327;4732.3584;4779.787;4721.255;4637.7554;4566.9204;4559.429;4592.155;4575.1875;4585.9966;4620.469;4663.362;
Sample 3;1550.3552;2166.5227;2131.9487;2537.0154;2675.0173;2881.7466;3298.5125;3707.06;3856.88;3955.751;4139.0654;4319.608;4347.3604;4398.244;4587.902;4454.4175;4373.5874;4425.369;4466.384;4509.3706;4501.401;4525.3755;4564.943;4557.2363;4599.574;4609.5684;4612.0845;4692.891;4625.438;4627.2944;4669.609;4643.6924;4639.6675;4663.408;4712.6646;4724.9443;4738.5703;4755.9595;4794.9907;
Sample 4;1211.7603;2142.9053;3038.8853;3552.8254;3504.519;3654.8545;3908.4065;3698.5447;3648.5696;3665.8296;3743.5493;3592.649;3516.2468;3548.5364;3518.029;3576.5215;3656.4163;3690.4954;3601.1326;3498.7878;3507.2368;3595.2197;3671.3523;3747.115;3766.6484;3817.1682;3861.0518;3946.2056;3973.7356;4021.705;4040.134;4051.5356;3996.6992;4024.5232;3971.0564;3965.5276;3919.5647;3891.8047;3883.8967;3921.503;3955.1973;4028.2546;4043.2368;4074.814;4102.891;4124.595;
Sample 5;1250.8698;1925.5433;1907.0239;2336.3354;2833.8926;2898.5854;3079.8425;3421.993;3708.96;3782.9446;3836.8606;3919.604;3967.0327;4003.6929;3990.1355;4011.7053;4398.2866;4222.012;4164.3936;4137.698;4193.8267;4158.271;4158.5303;4227.918;4298.1797;4295.797;4333.914;4387.172;4399.166;4423.7974;4479.6914;4398.3037;4330.928;4293.3486;4298.909;4321.5137;4377.0557;4380.918;4399.2783;4424.428;4469.67;
Sample 6;1384.602;2220.1223;2616.037;2484.1548;2422.2898;2474.2317;2850.31;3147.5847;3401.3965;3560.5247;3712.6035;3825.342;4023.6816;4138.7407;4290.032;4275.8027;4098.977;4019.5105;4028.9888;4095.5046;4149.9937;4117.6284;4136.183;4178.578;4237.2383;4323.107;4361.522;4413.06;4344.8726;4255.6914;4250.725;4278.813;4311.898;4355.8086;4358.6724;4373.3965;4402.654;4426.7896;4449.709;4502.417;4533.245;
Sample 7;1158.0271;2085.837;2999.115;2722.775;2657.4639;2897.021;3283.0479;3506.0571;3327.6943;3130.0588;3090.6338;3008.6787;3055.551;3201.9153;3389.5908;3435.2544;3490.7854;3642.3625;3712.8474;3774.7498;3825.7053;3846.1245;3864.0557;4082.4573;4017.099;4062.0876;4133.5645;4104.4067;4096.439;4179.6343;4267.804;4262.6265;4267.4653;4348.9854;4357.2993;4354.882;4319.2617;4305.225;4477.2446;4432.3896;4431.061;4452.281;4423.6445;4395.2583;
Sample 8;1394.0803;2065.5938;2890.7175;3487.0674;3613.0276;3759.2751;3930.6338;4158.0234;4187.2534;4312.608;4365.0737;4380.7476;4532.1836;4379.7305;4249.2573;4237.3438;4160.1245;4136.3804;4209.9053;4292.3374;4376.427;4407.728;4436.903;4466.1733;4474.1587;4474.861;4483.05;4502.6357;4512.6987;4523.0166;4598.1533;4544.111;4475.122;4444.643;4489.4062;4526.7666;4532.088;4542.3564;4557.9316;4599.878;
Sample 9;1154.2693;1977.4323;2861.195;3427.0632;3464.3555;3584.2292;3898.5532;4156.873;4236.9365;4362.6865;4498.5605;4244.9785;4110.1353;4162.634;4242.739;4344.6855;4299.124;4318.6255;4371.246;4453.1274;4484.0854;4354.773;4244.7725;4219.939;4256.055;4217.278;4201.4087;4257.955;4358.375;4367.101;4400.7397;4434.9297;4482.095;4486.782;4497.6973;4504.594;4550.94;4448.0747;4421.9507;4441.402;4470.898;4413.4297;4396.5044;

Sample;Average
Sample 0;3911.5215
Sample 1;4345.9556
Sample 2;4688.65
Sample 3;4797.9927
Sample 4;4157.2266
Sample 5;4476.7563
Sample 6;4579.268
Sample 7;4395.508
Sample 8;4650.622
Sample 9;4404.5493

Total max:;4797.9927;
Total average:;4440.8047;
