Timestamp:;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;
Sample 0;108.734406;951.00867;1740.8307;2245.9507;2598.901;2726.6377;3005.1968;3225.7046;3430.8691;3484.038;3628.5913;3754.3135;3706.5398;3476.943;3300.7764;3248.2358;3277.0657;3339.3606;3436.1914;3496.3035;3459.9292;3444.6921;3459.9731;3487.647;3567.5664;3550.1938;3575.0032;3599.6816;3618.693;3610.955;3635.364;3706.2266;3646.7205;3642.7822;3671.12;3646.598;3650.6736;3653.4226;3686.4631;3692.678;3713.339;3728.7427;3742.2927;3761.2998;3753.3987;3833.4543;3807.248;3768.8743;3733.7659;3717.9456;3728.9226;
Sample 1;1013.29626;1574.898;1693.8457;2178.469;2688.8667;2820.2737;2910.4897;3192.0244;3488.7239;3494.1477;3643.9626;3739.5186;3857.0007;3878.2239;3940.9878;4000.8933;4054.0723;4090.8574;3976.8716;3990.5132;4026.71;4076.695;4066.1704;4085.099;4092.2803;4144.1084;4171.149;4183.9688;4234.027;4202.088;4225.4014;4250.1357;4310.2466;4217.0425;4175.0376;4184.3584;4219.281;4243.74;4229.837;4237.4595;4258.624;4275.9863;4298.4106;
Sample 2;1056.5522;1794.3861;2652.8213;2518.4175;2238.844;2332.2832;2284.1418;2442.0327;2696.5137;2977.3804;3194.6384;3299.1296;3398.7524;3561.965;3444.6904;3337.317;3251.2139;3182.5945;3111.9285;3138.2715;3218.2876;3164.8816;3093.2815;3091.1233;3157.6785;3114.6697;3067.1694;3082.118;3143.4072;3127.1082;3149.2668;3224.568;3321.4807;3366.0837;3413.6167;3477.9463;3557.0586;3645.079;3711.6995;3771.4436;3718.2693;3705.1724;3736.2483;3699.6826;3699.115;3686.4004;3680.4714;3733.271;3796.6821;3852.2603;
Sample 3;1375.8336;2404.34;3306.5767;3226.3354;3275.1892;3657.5728;3975.7253;4336.0215;4403.9766;4414.2266;4501.1484;4536.8477;4557.4844;4566.705;4593.0483;4689.4727;4544.125;4527.571;4572.001;4623.6616;4593.5522;4586.386;4607.395;4645.738;4694.4937;4732.5967;4771.6245;4765.2856;4647.1826;4575.9067;4556.532;4575.3853;4562.815;4567.5;4588.596;4663.091;4667.287;4684.5493;4727.2695;4731.3765;
Sample 4;1452.9846;2327.0435;3121.964;3686.3066;3679.7837;3869.7124;4171.2188;4491.567;4659.8267;4664.6514;4815.3267;4939.5645;5012.96;4937.453;4738.017;4627.34;4661.0806;4719.4175;4763.106;4736.4375;4735.494;4754.313;4818.0396;4802.8135;4833.1196;4860.3887;4864.6416;4880.7217;4891.3867;4779.727;4696.673;4671.7554;4624.476;4583.531;4622.484;4653.4346;4690.6787;4713.0044;4725.831;4755.2437;4790.1895;
Sample 5;1203.1161;2235.7642;2115.624;2516.5093;2523.8123;2689.6729;3100.7915;3404.0254;3700.2495;3791.5054;3977.4854;4023.5315;4100.4;4212.08;4313.989;4427.27;4470.519;4564.4707;4522.1577;4358.479;4247.332;4185.821;4194.5083;4233.7114;4272.1484;4244.306;4253.227;4286.399;4348.576;4380.2285;4386.317;4457.432;4481.593;4537.9917;4559.98;4491.851;4437.158;4405.747;4434.217;4462.211;4487.048;4511.8804;
Sample 6;1260.1924;2230.3289;3066.8704;3554.7222;3481.9927;3631.0015;3892.7124;4083.8167;4074.999;4206.3174;4280.9307;4323.7544;4436.681;4462.6978;4460.934;4442.546;4647.066;4536.368;4405.5083;4349.026;4363.206;4333.6045;4332.41;4335.8555;4358.9116;4392.519;4365.629;4397.1924;4409.544;4404.332;4480.563;4438.664;4374.5596;4346.8364;4250.576;4185.626;4195.483;4137.2847;4126.716;4075.6409;4066.7336;4039.529;4027.2456;4062.0127;4107.25;4134.171;
Sample 7;1421.121;2134.5261;2985.2166;3521.792;3460.57;3487.7373;3467.0703;3641.6594;3888.5374;3954.5813;4086.1658;4187.909;4184.3193;4268.797;4334.399;4392.9556;4258.656;4130.178;4091.8206;4124.1323;4144.5635;4166.9336;4123.0923;4106.2695;4117.264;4210.3594;4237.9614;4285.9214;4320.005;4336.833;4380.9087;4412.8574;4454.586;4455.3574;4520.321;4522.408;4484.548;4426.7305;4371.9253;4348.4087;4370.591;4405.946;4431.1714;
Sample 8;1286.935;1829.2812;2610.043;2490.1611;2168.8186;2210.0361;2469.1265;2757.0427;2968.2527;3235.579;3337.626;3470.273;3539.719;3746.4224;3864.5881;3959.6626;4026.112;3924.0886;3810.1958;3837.4524;3910.0022;3983.6167;3983.0693;4029.6687;4067.1685;4141.787;4156.7373;4184.6235;4266.431;4283.6475;4298.4478;4232.396;4191.261;4155.761;4089.5005;4064.4756;4100.2666;4141.189;4206.509;4209.4883;4218.772;4219.8647;4234.1196;
Sample 9;1257.6237;1919.3115;1949.1486;1915.2233;2272.9932;2056.3577;2038.5114;2028.6738;2001.1056;2193.7954;2433.2966;2631.8215;2676.5908;2725.5557;2813.6013;2917.305;3061.0044;3110.4512;3233.6443;3336.813;3397.437;3387.7344;3309.142;3305.6814;3356.015;3438.3062;3425.2332;3462.9988;3486.3503;3572.3232;3578.7712;3633.808;3689.9407;3728.9243;3759.0513;3799.3276;3742.0981;3694.479;3662.02;3665.677;3652.1045;3648.9285;3702.911;3751.344;3776.1987;3803.6995;3842.9626;3884.5142;

Sample;Average
Sample 0;3739.45
Sample 1;4350.427
Sample 2;3878.675
Sample 3;4772.2217
Sample 4;4800.8027
Sample 5;4521.6133
Sample 6;4184.6694
Sample 7;4456.606
Sample 8;4274.5273
Sample 9;3931.6523

Total max:;4800.8027;
Total average:;4291.0645;
