Timestamp:;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;
Sample 0;418.5163;817.33496;1210.4175;1832.8599;2369.7952;2487.6616;2673.2832;2872.3113;3121.9878;3406.3845;3471.746;3602.6433;3720.2317;3868.6992;3939.9075;4045.1675;4153.0415;3985.7898;3896.359;3915.8037;3951.3887;4010.5283;3984.6372;4005.5798;4033.1099;4093.3967;4106.2007;4152.845;4154.539;4204.0776;4233.2397;4275.902;4298.322;4312.2974;4224.579;4162.86;4106.992;4057.297;4048.373;3998.4373;3988.148;3947.0352;3911.7654;3875.38;3897.5208;3924.4001;3959.1506;4000.7046;
Sample 1;950.58826;1632.2474;2643.1604;3167.6306;3047.711;3050.6147;3388.8062;3674.3875;3925.521;3987.8816;4046.4731;4145.157;4136.2495;4165.0327;4179.0527;4254.53;4484.762;4454.866;4386.4355;4266.531;4235.5195;4268.6094;4229.217;4218.684;4281.28;4350.6997;4378.9546;4445.8374;4481.151;4510.6577;4463.614;4375.3228;4302.855;4296.958;4337.7847;4316.263;4308.0405;4345.841;4369.0596;4406.8135;4430.1562;4447.618;4477.4097;
Sample 2;1041.9615;2083.7576;2051.0737;2420.7927;2977.3738;3088.3665;3249.0933;3589.3386;3508.8567;3265.2507;3279.2297;3407.9778;3329.2913;3341.247;3452.906;3448.649;3506.4746;3620.2393;3738.27;3815.7236;3879.6072;3924.1436;4041.0852;3963.3079;3940.9646;4013.3613;4083.9395;4092.533;4119.812;4183.7295;4201.3354;4242.513;4265.635;4281.83;4289.6626;4348.022;4344.271;4295.4307;4244.263;4233.8745;4254.4717;4280.608;4310.988;4337.731;
Sample 3;1271.6581;2089.7397;2965.9485;3547.6055;3606.5437;3678.7908;3557.4185;3384.04;3221.3052;3225.134;3186.3438;3224.0078;3320.0754;3465.785;3633.409;3707.9458;3770.4683;3808.2095;3943.7817;4007.8574;4034.145;4076.516;3964.5173;3914.9287;3845.218;3832.4714;3837.645;3779.539;3770.9146;3768.621;3796.5322;3803.9531;3814.1304;3912.4187;3950.9731;3924.9666;3956.4634;4011.6226;4015.65;4035.0312;4067.177;4084.0085;4111.5913;4133.1294;4147.266;
Sample 4;1080.544;2211.1096;3037.83;3597.484;3642.6401;3756.4478;4052.3242;4239.744;4282.8955;4380.6284;4459.8247;4413.1416;4433.766;4393.883;4660.6934;4753.967;4626.718;4627.3833;4667.7593;4602.5757;4587.844;4652.2056;4712.086;4687.839;4707.6875;4735.852;4815.704;4812.8433;4802.909;4778.4224;4757.12;4735.994;4713.525;4879.833;4925.2974;4862.019;4789.459;4764.8213;4758.9243;4695.3384;
Sample 5;1268.4343;2450.892;3451.9556;2871.3547;2895.942;3284.6008;3681.3489;4032.6296;4213.6523;4406.9727;4529.376;4588.749;4649.8037;4728.774;4782.398;4835.6943;4635.0986;4487.4062;4445.753;4477.1587;4407.3354;4421.2505;4472.333;4533.7915;4538.637;4591.122;4639.7334;4688.5547;4723.736;4749.756;4784.425;4686.2656;4619.7085;4542.694;4470.367;4400.342;4382.7334;4393.45;4354.2383;4334.5103;4373.7817;4418.4463;4451.8486;
Sample 6;1395.8875;2319.9004;3254.9072;3762.0112;3819.6006;3920.8918;4175.2227;4384.8125;4384.965;4478.828;4576.595;4592.9395;4597.9165;4595.873;4735.247;4569.9375;4515.335;4537.063;4557.0737;4468.665;4367.9854;4342.7334;4389.372;4418.963;4355.565;4235.867;4190.4775;4216.397;4141.9487;4072.64;4008.6143;3997.9805;3960.761;3957.3748;4012.8508;4074.2583;4138.277;4063.7712;4005.6997;3955.2004;3947.838;3967.7212;4009.3843;4018.3098;4060.2974;4101.227;4159.513;
Sample 7;932.94;1959.7568;2864.788;3361.2024;3537.8765;3724.0146;3896.0996;4199.873;4265.339;4392.075;4505.457;4593.6724;4367.3887;4288.441;4137.318;4118.5;3998.5847;3874.7854;3867.2786;3931.7444;4037.0579;4107.4966;4143.1216;4181.32;4224.779;4301.0576;4348.6064;4405.6445;4408.3633;4311.297;4234.998;4225.1255;4258.162;4296.623;4291.6777;4294.5415;4332.679;4365.2446;4406.178;4430.003;4469.3403;4451.526;4417.8;
Sample 8;1300.9535;2169.3074;3004.057;3548.2632;3534.0022;3671.6934;3865.0464;4155.989;4214.139;4327.974;4446.145;4615.4287;4654.433;4734.7217;4789.124;4675.5264;4492.977;4357.626;4304.7246;4328.068;4357.81;4323.3965;4343.06;4394.8906;4480.935;4470.418;4500.932;4553.583;4569.9004;4601.0347;4608.918;4566.6436;4570.6865;4540.912;4530.5054;4566.3003;4588.985;4617.992;4636.4185;4641.529;4650.2397;
Sample 9;1382.6747;2277.7642;3255.487;2950.9844;2754.0017;2831.8894;3252.4463;3633.2773;3949.2952;4057.558;4185.5874;4310.292;4329.98;4381.905;4423.2627;4451.8726;4537.577;4549.473;4492.6807;4388.843;4282.495;4258.859;4284.354;4188.3354;4100.0083;4032.2913;4028.535;3994.4177;3987.835;4022.2935;4096.921;4005.2;3951.1672;3946.257;3974.9126;4007.6396;3956.4824;3886.7573;3866.8562;3828.2896;3827.5151;3866.3252;3920.1467;3926.5989;3948.4097;3982.5073;4017.898;

Sample;Average
Sample 0;4012.1245
Sample 1;4538.327
Sample 2;4352.699
Sample 3;4242.1865
Sample 4;4675.9453
Sample 5;4485.965
Sample 6;4175.104
Sample 7;4412.8877
Sample 8;4715.2573
Sample 9;4085.76

Total max:;4715.2573;
Total average:;4369.626;
