Timestamp:;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;
Sample 0;241.49524;1035.5607;1716.5287;2372.9512;3074.731;3225.0662;3374.2168;3564.738;3771.2114;3798.9924;3885.564;3956.6887;4058.95;4108.423;4242.7803;4149.089;4026.2336;3998.1138;3911.9702;3908.8928;3939.0842;4007.6858;4084.2297;4074.582;4093.3235;4114.753;4179.4424;4171.6167;4173.6157;4190.356;4176.641;4140.1357;4214.901;4172.425;4127.551;4094.2268;4038.2893;4037.355;4029.8044;4062.4387;4045.503;4038.4321;4059.7297;4067.68;4088.8623;
Sample 1;949.8054;1788.2493;2539.8496;3307.7844;3437.0432;3755.4956;3992.3376;4123.2637;4213.9917;4342.8823;4229.381;4125.033;3974.1191;3945.9885;4028.2236;4156.5015;4315.175;4343.7134;4401.49;4454.5215;4452.766;4429.749;4289.435;4190.3896;4133.422;4131.512;4184.761;4161.884;4159.408;4189.2676;4257.724;4272.4175;4307.48;4335.0947;4360.675;4381.34;4354.3477;4302.3105;4292.153;4261.9126;4263.544;4283.1143;4318.8135;4353.7495;
Sample 2;1264.7772;2119.5981;2088.1733;2486.721;2606.5803;2670.8235;3106.9448;3428.8408;3269.8938;3179.3726;3174.9958;3357.818;3248.7302;3151.3818;3074.5679;3080.2417;2971.2153;2929.5378;3011.6013;3130.0554;3245.3506;3329.4043;3346.311;3394.0032;3441.5005;3510.342;3458.8386;3397.5144;3406.1204;3439.0857;3389.1697;3390.194;3364.3403;3351.4895;3395.88;3465.5186;3512.2473;3642.421;3586.85;3587.4387;3567.7021;3570.1824;3615.744;3669.6086;3632.9685;3602.4011;3594.1963;3627.142;3665.9067;3700.6665;3745.734;
Sample 3;1365.138;2003.3494;2820.7769;3302.022;3344.749;3450.1323;3547.1704;3735.122;3549.8237;3341.4807;3359.0862;3433.1196;3539.451;3641.7844;3657.6072;3660.4329;3701.4773;3754.5469;3843.3943;3859.1208;3895.488;3916.7876;3980.5881;3991.6167;3900.2808;3892.249;3899.735;3915.9958;3896.5024;3888.3782;3920.9805;3987.242;4029.9226;4058.577;4101.331;4135.619;4161.8804;4189.5327;4122.0176;4074.0164;4059.836;4016.479;3975.9368;3954.3936;3974.6836;3935.2168;3920.6042;3931.1992;3964.012;
Sample 4;1391.9381;2123.5142;2024.9406;2346.14;2742.351;2386.9258;2403.2395;2329.3037;2476.2993;2670.0032;2823.5884;2873.2727;2956.1438;3143.566;3342.1663;3374.568;3510.1687;3569.5796;3718.1619;3574.6887;3470.865;3490.7844;3556.74;3654.661;3761.6926;3771.5425;3792.3472;3869.7473;3863.118;3927.2913;3960.7869;4010.282;4027.4243;3947.5518;3896.7148;3857.8994;3850.5234;3812.7761;3807.0718;3756.1733;3743.3792;3765.23;3735.002;3740.154;3779.6257;3776.747;3774.643;3796.0935;3840.6917;3886.355;
Sample 5;1274.8054;2144.1807;2091.1172;2327.3704;2246.1992;2193.6404;2327.818;2731.9204;3053.7017;3020.4163;2946.9028;3040.9824;2988.3984;3044.5354;3111.4575;3047.8376;3090.8552;3058.103;3086.876;3225.3538;3357.1248;3401.7915;3469.1245;3515.5906;3608.3193;3669.9175;3720.5676;3810.9702;3858.486;3926.927;3918.2703;3896.0815;3921.0225;3905.611;3907.4082;3959.8394;4017.084;4044.1726;4045.9197;4079.7927;4100.68;4118.3545;4164.3457;4183.197;4163.1265;4117.2515;
Sample 6;1295.9738;2069.2437;3058.8235;3795.5354;3882.8394;3944.2505;4034.2554;4195.189;4424.484;4584.0874;4640.094;4732.426;4552.7354;4382.1875;4346.2817;4204.9507;4186.298;4091.2515;4074.427;4160.571;4237.603;4292.854;4323.845;4391.7812;4297.809;4196.921;4172.1636;4197.4683;4238.7744;4298.301;4304.618;4322.113;4336.5903;4391.171;4412.1875;4422.023;4438.1357;4446.6665;4447.5156;4490.1025;4476.467;4418.431;4379.3735;4376.3706;
Sample 7;1276.503;2173.615;3056.4973;3701.2888;3775.0696;3762.414;3878.6465;4009.272;4049.9495;4150.3125;4232.108;4366.966;4359.422;4373.5996;4383.7783;4442.0044;4501.2246;4372.257;4340.984;4383.4067;4428.918;4368.642;4331.0884;4391.0146;4405.391;4408.7334;4421.296;4468.1943;4511.66;4572.3477;4559.0415;4545.4116;4533.165;4436.166;4391.4604;4394.9404;4419.496;4445.801;4412.2563;4386.0757;4404.2495;4462.3076;4506.448;
Sample 8;1349.6616;2141.3167;2632.6492;2881.146;2931.2922;3195.1284;3374.8625;3822.1484;3918.2815;4119.445;4247.199;4391.9805;4419.7427;4508.228;4408.5864;4264.172;4134.618;4087.5806;3977.8132;3960.6482;3978.9739;4003.4512;3947.2483;3958.8308;3986.3618;4029.4565;4099.3584;4111.4995;4143.5938;4155.0957;4227.375;4254.584;4293.0684;4316.769;4313.6504;4285.0815;4233.3335;4174.7847;4161.874;4171.5884;4101.852;4068.3967;4081.6936;4103.398;4126.2847;4154.355;
Sample 9;1020.80524;1427.9308;2243.3904;2799.1523;3003.1384;3212.417;3342.5645;3579.8013;3643.0508;3866.9443;3986.9639;4005.4714;4082.6782;4109.858;3921.8691;3798.0667;3694.6223;3639.5173;3604.6028;3505.516;3488.0625;3548.4053;3606.063;3665.371;3697.2;3684.9556;3718.0352;3778.0928;3780.7388;3853.2249;3892.6018;3936.354;3951.1423;3989.4907;4019.724;3959.2585;3899.5396;3885.9834;3912.378;3970.62;4003.2231;3953.3774;3912.532;3879.7786;3870.3696;3850.9045;3833.7944;3850.933;3880.887;

Sample;Average
Sample 0;4196.048
Sample 1;4405.558
Sample 2;3746.897
Sample 3;3984.2861
Sample 4;3894.3464
Sample 5;4109.5527
Sample 6;4376.6455
Sample 7;4521.675
Sample 8;4180.392
Sample 9;3891.9517

Total max:;4521.675;
Total average:;4130.7354;
