Timestamp:;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;
Sample 0;339.4386;823.58154;1323.1239;1723.8408;2252.0208;2448.023;2615.9238;2803.4114;2943.145;3102.4834;3070.5632;3104.624;3130.2295;3173.063;3177.9062;3306.8823;3462.3313;3414.737;3480.6177;3549.2363;3522.052;3498.3447;3486.2515;3524.3906;3552.4912;3532.2317;3555.1824;3571.955;3546.5571;3645.538;3565.6716;3517.148;3539.8145;3559.3997;3602.6755;3585.5645;3579.1548;3567.8662;3617.92;3659.8044;3666.0654;3694.6555;3713.061;3725.6035;3736.732;3746.6458;3769.0068;3800.5208;3794.691;
Sample 1;846.31305;1743.4208;1759.4098;2186.131;2650.777;2712.7876;2810.0369;3012.026;3304.573;3546.0205;3600.792;3728.0225;3813.565;3749.678;3751.212;3919.773;4018.1973;4042.6548;4065.4282;3958.5706;3963.6262;4007.2666;4067.5466;4029.0232;4063.1228;4082.1575;4128.436;4148.6143;4149.6626;4177.5107;4185.905;4207.775;4193.096;4126.8833;4079.6074;4071.1792;4035.572;4019.838;4039.306;4070.5107;4098.1772;4029.4707;3992.1821;3999.6042;3991.181;3948.654;3909.8115;3887.715;3865.6504;3828.4312;3803.8547;
Sample 2;929.4705;1770.6569;1826.6538;2261.3123;2690.556;2670.8723;2717.135;2933.6213;3265.0361;3485.2388;3588.5725;3582.9956;3792.662;3876.2856;3733.2112;3591.189;3589.8494;3641.2615;3750.2415;3698.5276;3660.0376;3712.53;3778.7063;3859.1096;3865.847;3908.723;3924.1267;4029.2397;4048.5205;3968.8228;3906.4675;3851.459;3843.596;3764.055;3738.8518;3769.7498;3803.483;3829.5762;3840.3289;3841.8264;3799.6255;3760.3184;3724.465;3686.7727;3690.0557;3669.5222;3665.45;3704.6975;3722.409;3785.5698;
Sample 3;915.13947;1795.12;1841.7549;2277.9304;2817.2537;2854.8486;2923.7434;3204.6787;3473.0154;3563.0894;3609.5923;3682.551;3702.271;3760.0256;3760.22;3811.2522;4091.5955;3945.4382;3877.5442;3872.612;3940.1538;3972.8655;3999.2273;3972.975;3994.7456;4031.1257;4106.287;4113.879;4151.5894;4170.99;4182.635;4181.4937;4185.3745;4166.14;4166.893;4316.7993;4294.4917;4248.1016;4188.537;4173.929;4187.8633;4170.087;4161.9976;4177.9985;4214.3076;4254.7124;
Sample 4;1294.0941;2106.2378;2034.2955;2429.167;2931.712;2607.6355;2609.729;2904.0872;3102.0059;3236.2927;3238.8596;3329.3042;3506.396;3697.6597;3783.4678;3855.641;3969.278;4021.254;4095.242;4157.8154;4191.2695;4183.0;4318.3887;4266.8896;4258.8076;4190.751;4169.715;4245.226;4312.001;4326.3267;4331.2534;4361.8413;4401.268;4444.651;4462.92;4473.098;4474.87;4511.007;4442.6255;4382.7207;4364.3364;4375.543;
Sample 5;1151.2546;2009.9586;3052.0654;3566.055;3786.6995;3672.4211;3789.016;3985.7747;3742.3398;3539.4578;3391.6687;3374.4854;3479.6384;3431.7502;3340.5537;3226.6013;3219.8186;3308.0364;3388.6555;3464.7688;3517.7354;3588.747;3687.6477;3723.0933;3757.4297;3786.9226;3807.1707;3955.3625;3903.7852;3880.026;3933.7524;3897.4985;3836.5356;3764.3945;3709.195;3697.5317;3728.4321;3776.9656;3834.779;3833.4443;3855.0088;3887.9426;3935.0823;3932.3936;3929.5742;3944.9854;3944.5227;
Sample 6;1356.5098;2061.9614;2144.5354;2114.799;2453.117;2235.3738;2258.5625;2568.5366;2837.321;3087.8;3161.1794;3293.013;3176.6675;3104.709;3030.7224;3075.3025;2967.2278;2949.2048;3056.4492;3171.8608;3276.819;3219.5073;3130.3455;3101.7156;3126.9727;3235.0515;3301.5874;3337.2537;3388.9243;3449.0586;3521.7034;3574.6785;3631.824;3698.5195;3651.973;3607.7493;3548.4814;3528.275;3485.3818;3488.069;3453.3313;3457.0999;3480.2053;3484.5945;3474.5732;3510.2854;3551.7227;3534.296;3484.1885;3470.8513;3441.756;3444.9153;3466.104;3487.2422;3525.016;
Sample 7;854.62897;1504.7628;2321.7815;2783.2937;2796.1296;2937.4795;3146.5735;3437.1096;3689.903;3718.0007;3848.6968;3932.464;4011.4863;4048.3577;4071.4224;4063.6016;4169.233;4261.2856;4334.823;4396.83;4249.4907;4166.718;4173.959;4208.5415;4250.479;4288.774;4270.709;4271.761;4304.403;4349.039;4309.8853;4347.0107;4354.7627;4281.344;4226.681;4172.123;4153.374;4157.808;4179.3486;4200.0303;4201.757;4210.419;4216.8096;4251.3984;4279.773;
Sample 8;1060.8331;1869.5784;1891.5173;2267.9888;2718.6226;2811.6753;2900.4922;3178.151;3328.4294;3359.0483;3516.6968;3367.094;3253.882;3271.5476;3377.655;3358.4968;3386.8372;3514.7812;3648.7556;3682.7158;3750.8591;3676.984;3600.6252;3533.6956;3470.8923;3419.3638;3378.6013;3378.8958;3418.6904;3495.3806;3580.2205;3617.7305;3664.0745;3701.1626;3763.4512;3779.1162;3832.1885;3880.6196;3913.0513;3950.1145;3974.8657;3997.5552;3946.5193;3914.3025;3941.1233;3972.0823;3998.0813;
Sample 9;1188.8612;2060.2285;2838.314;3380.037;3302.932;3357.5364;3639.3032;3933.9219;3977.8132;4061.5693;4099.9004;4248.265;4332.006;4405.8555;4474.383;4527.056;4523.8306;4517.7163;4470.728;4408.915;4263.587;4213.422;4252.549;4304.2314;4340.164;4286.265;4306.3257;4329.147;4379.1978;4403.0303;4441.581;4444.7876;4465.716;4455.2773;4469.728;4545.5146;4526.4414;4479.162;4443.852;4459.0454;4478.969;4446.8003;4388.77;4335.022;

Sample;Average
Sample 0;3801.5588
Sample 1;3803.518
Sample 2;3819.5203
Sample 3;4264.5107
Sample 4;4397.5376
Sample 5;4043.9333
Sample 6;3546.439
Sample 7;4312.0083
Sample 8;4028.392
Sample 9;4321.0825

Total max:;4397.5376;
Total average:;4033.85;
