Timestamp:;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;
Sample 0;365.32693;1303.4359;1712.0879;2207.3333;2260.2244;2158.184;2254.9963;2473.4138;2773.5027;3058.9783;3140.4265;3217.4824;3293.2651;3328.941;3303.5234;3294.3906;3583.3562;3683.9001;3738.0618;3728.3943;3718.3738;3767.5588;3812.0754;3828.3076;3719.8867;3670.4126;3669.9143;3672.4822;3711.326;3740.023;3749.0725;3757.9067;3790.5588;3826.1123;3844.5889;3866.7969;3885.7378;3895.7783;3889.8757;3956.8364;3971.612;3981.4836;3958.5022;3968.7048;3983.246;4019.8706;4046.962;
Sample 1;1203.3243;1735.8141;2800.8018;3408.9402;3395.5342;3635.7244;3844.2554;4131.5444;4169.3647;4265.139;4350.646;4401.123;4522.8057;4389.5337;4421.304;4471.011;4268.0312;4189.118;4217.967;4265.513;4335.228;4324.138;4325.9614;4364.698;4443.032;4454.2393;4494.4004;4516.811;4508.6616;4524.5806;4546.317;4524.3984;4412.146;4338.291;4271.5625;4212.826;4202.241;4218.7246;4249.2124;4220.7427;4226.4814;4258.4814;4308.299;4346.4326;
Sample 2;943.14703;2052.1323;2994.6743;3574.4463;3680.14;3789.875;4050.0251;4351.5903;4425.596;4618.513;4759.769;4818.2515;4932.369;5019.7886;5086.132;5131.1533;5227.621;5072.185;4931.869;4803.6304;4725.6074;4722.2935;4638.785;4577.623;4501.6533;4467.2754;4527.054;4588.5957;4589.6484;4586.9673;4604.8755;4665.938;4711.1284;4759.053;4797.436;4827.84;4739.892;4675.2;4652.036;4677.543;4719.6567;
Sample 3;1276.9305;2174.9668;2669.481;3172.5488;3169.8926;3401.0264;3552.3796;3846.1843;4102.5283;4167.2173;4349.103;4370.6455;4351.8643;4444.8145;4546.1914;4503.2363;4503.107;4490.9434;4507.1987;4581.518;4539.911;4647.3843;4716.18;4724.2026;4752.839;4662.322;4565.4087;4471.5215;4443.5825;4391.328;4364.1743;4401.9854;4332.0933;4264.0215;4197.517;4144.4272;4112.249;4056.966;4001.331;3997.893;3951.132;3946.987;3902.5835;3860.9937;3853.2793;3894.5757;3937.0442;3988.9268;
Sample 4;1107.2201;2211.6465;3111.8354;3676.6826;3731.5476;3889.75;4034.5083;4204.3184;4265.781;4370.5464;4249.5317;4082.2036;3882.467;3883.6711;3972.1833;4076.3257;4150.133;4144.457;4180.354;4209.891;4290.7915;4311.3545;4392.5225;4292.378;4222.6157;4144.905;4136.0625;4194.064;4234.6377;4299.391;4348.0005;4382.375;4410.3335;4455.0044;4482.7334;4532.013;4470.2583;4400.467;4340.02;4282.8613;4234.789;4226.464;4244.071;4269.912;
Sample 5;1180.2657;2090.2324;2092.281;2432.966;2873.8853;2887.2039;3072.3953;3363.3542;3738.203;3866.821;4016.7634;4140.645;4199.583;4326.659;4425.7036;4492.9575;4519.101;4636.1924;4572.322;4447.872;4312.7847;4242.513;4160.7847;4149.8594;4166.2046;4094.046;4076.8643;4047.2488;4030.8308;4087.5564;4147.352;4163.4707;4195.4443;4241.9595;4316.036;4319.944;4355.681;4377.7314;4413.177;4468.6846;4423.884;4429.222;4458.354;
Sample 6;1297.1542;2263.1736;2213.5344;2539.137;2524.6057;2751.4905;3151.5657;3607.269;3890.0564;4042.8699;4162.757;4231.93;4193.711;4295.424;4377.8604;4447.1177;4479.648;4530.718;4463.7344;4489.686;4407.3994;4402.1147;4473.592;4401.1665;4273.6553;4247.082;4165.097;4148.586;4182.0317;4240.0186;4217.8364;4225.968;4269.2188;4331.719;4353.0854;4398.323;4433.3105;4419.956;4406.6;4344.9565;4289.262;4274.457;4300.465;4250.0884;4237.6206;
Sample 7;1084.821;2010.8973;2003.5555;2386.2969;2867.5793;2587.8813;2628.3755;2913.2905;3166.9014;3417.0588;3448.9993;3542.4297;3709.6511;3915.4045;3939.5168;3989.783;4103.5366;3979.391;4070.4417;4299.58;4191.815;4069.8193;4038.6223;4023.409;4009.6553;4015.4485;4056.055;4027.3503;4028.0757;4064.6309;4121.741;4136.095;4163.0947;4196.207;4244.6235;4271.064;4313.948;4339.7617;4378.56;4385.0073;4418.956;4357.9004;4325.2773;4294.229;4250.3696;4223.0845;
Sample 8;1443.4816;2388.5142;3283.4507;3324.4905;3412.0898;3820.075;4250.177;4328.6772;4443.674;4625.9253;4819.6675;4803.691;4865.298;4910.03;4921.57;4950.5444;4964.225;5009.218;4928.6836;4850.3257;4708.239;4651.866;4654.874;4589.976;4578.916;4602.513;4640.8306;4679.148;4685.3457;4705.6177;4709.3745;4721.2544;4743.2163;4765.9937;4741.9346;4656.608;4599.495;4596.918;4551.928;4488.8765;4426.2324;4393.4746;4397.139;4360.2;4308.45;
Sample 9;1344.5043;2101.3582;2053.9387;2421.037;2878.602;2930.672;3124.3599;3408.5598;3756.5146;3893.9138;4073.3218;4216.8267;4225.773;4309.335;4365.634;4429.3203;4572.482;4631.6196;4652.168;4497.2666;4446.3154;4486.9434;4540.775;4615.406;4607.6685;4613.7344;4659.4688;4719.557;4756.6895;4784.544;4808.0073;4744.348;4655.787;4619.966;4632.638;4654.924;4626.9204;4624.35;4641.0674;4687.821;

Sample;Average
Sample 0;4112.688
Sample 1;4359.464
Sample 2;4736.564
Sample 3;4021.9841
Sample 4;4279.4937
Sample 5;4497.1104
Sample 6;4242.1865
Sample 7;4222.331
Sample 8;4265.884
Sample 9;4730.8057

Total max:;4736.564;
Total average:;4346.851;
