Timestamp:;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;
Sample 0;126.7311;968.43365;1826.7471;2435.676;2621.7986;2831.895;3049.3965;3190.7146;3318.995;3242.0442;3256.66;3308.2563;3477.5999;3864.6965;3891.2412;3771.2212;3677.0237;3683.7737;3591.4028;3505.273;3458.736;3507.352;3567.5227;3661.0496;3673.9736;3686.6084;3710.1138;3785.7817;3838.4282;3815.8948;3837.7278;3850.6096;3857.887;3840.0608;3842.156;3967.9702;4007.1348;3929.1208;3896.4053;3850.6838;3809.3398;3765.1155;3761.8423;3775.9634;3758.0378;3756.9922;3752.3496;3749.5952;3741.956;
Sample 1;982.71265;1582.8861;2672.3298;3246.464;3253.157;3315.745;3497.1355;3767.8506;3745.5925;3847.8862;3915.1501;4038.454;4178.4478;4258.1475;4253.1772;4262.4697;4129.534;3986.0532;3924.193;3964.835;4014.6604;4079.5862;4045.0303;4060.7559;4077.699;4123.7217;4187.7;4187.046;4214.642;4234.835;4246.8115;4233.6294;4150.7866;4141.356;4157.8496;4189.8574;4175.1016;4173.2495;4193.242;4227.409;4226.4956;4245.6597;4256.269;4269.9014;4347.7935;
Sample 2;1248.4779;2196.3442;2100.2588;2499.5928;2584.4805;2808.91;3205.975;3562.272;3904.585;4019.8296;3800.939;3674.069;3685.0854;3764.3147;3760.367;3763.829;3825.0112;3941.4424;4012.1006;4073.4197;4141.0566;4138.7607;4066.7383;4053.7158;4093.5603;4151.3003;4163.607;4198.4717;4217.316;4282.9106;4276.8364;4304.524;4304.204;4239.269;4217.5107;4179.9443;4154.538;4187.4023;4236.249;4247.332;4266.2725;4290.7754;4308.0273;4351.3833;
Sample 3;1205.482;2172.6746;2115.3416;2468.475;2880.5461;2938.6934;3039.9277;3289.7576;3571.8694;3688.5916;3828.5056;3959.7568;4067.4673;4135.1094;4188.542;4237.933;4387.2163;4241.119;4184.2573;4256.666;4328.339;4342.814;4359.512;4404.321;4483.2725;4483.627;4520.796;4553.1855;4569.966;4615.326;4543.825;4480.0864;4466.8657;4492.025;4456.9854;4457.6294;4471.031;4511.08;4535.204;4550.797;4566.0854;4577.4907;
Sample 4;1822.1115;2677.5415;3498.7588;3730.2996;3950.0635;4158.04;4396.3555;4453.958;4477.3975;4467.9326;4474.1943;4496.7017;4745.7065;4745.3286;4677.077;4574.175;4525.4165;4555.6045;4673.1855;4649.168;4562.979;4444.079;4372.8726;4365.4263;4384.623;4332.534;4320.9424;4363.5503;4420.066;4402.77;4420.4644;4452.8853;4499.012;4497.8125;4512.485;4507.6367;4528.2036;4647.0024;4599.1387;4600.6733;4618.3994;
Sample 5;1299.2112;2143.4712;2967.9902;2702.2317;2431.6255;2565.301;2900.8594;3204.9287;3450.7214;3508.997;3555.9792;3726.1218;3928.196;4074.623;4167.3735;4267.4043;4307.7896;4388.8623;4446.275;4521.179;4529.863;4652.82;4649.568;4507.1797;4476.338;4514.0386;4565.841;4613.397;4590.288;4611.279;4615.747;4681.421;4695.4766;4712.653;4725.8926;4708.9595;4709.0728;4703.726;4774.7964;4763.9707;4716.9097;
Sample 6;1202.5103;2224.7393;2701.3677;2939.3228;2583.3052;2666.292;2957.5508;3217.3345;3468.399;3514.0747;3645.1929;3787.8108;3935.8887;4037.6355;4127.952;4193.2495;4337.934;4376.519;4390.9644;4395.1333;4265.433;4244.7007;4288.509;4348.124;4398.8726;4411.0835;4408.1587;4440.7246;4498.919;4522.246;4555.2607;4585.059;4570.041;4582.887;4630.865;4597.648;4515.4287;4471.8184;4428.0845;4416.5254;4416.977;4435.53;4458.541;
Sample 7;1048.5254;2127.9155;3037.6428;3614.5603;3656.7834;3796.8035;4154.437;4422.9014;4379.6294;4522.6357;4626.2256;4627.121;4636.645;4638.282;4611.72;4758.076;4864.5137;4707.0913;4586.7466;4538.5796;4402.7905;4322.1045;4238.2;4232.776;4271.9243;4333.736;4344.7534;4360.627;4397.878;4405.5845;4450.935;4489.0996;4529.974;4551.316;4598.4263;4563.141;4533.983;4459.1377;4429.455;4367.0503;4358.088;4373.0923;4319.4883;4306.0195;
Sample 8;1417.1383;2263.2202;3271.3638;3806.8054;3801.3054;4022.6277;4210.119;4320.0576;4395.823;4436.2793;4454.8916;4454.0723;4512.893;4802.4404;4600.0625;4444.331;4312.1616;4281.466;4176.416;4150.503;4063.331;4047.4353;3949.5413;3926.6458;3988.382;4060.998;4121.663;4018.2422;3987.226;4033.1335;4085.765;4153.179;4183.9995;4219.0947;4264.042;4278.5195;4296.542;4237.5513;4234.5195;4266.9214;4263.9844;4275.0693;4294.134;4336.9243;
Sample 9;1161.5245;1990.4254;2974.12;3524.2424;3590.4473;3710.0889;3909.9133;4242.7485;4295.6167;4405.5566;4499.464;4522.4272;4571.9146;4616.481;4688.693;4652.7563;4498.593;4471.5493;4506.111;4519.6426;4460.065;4432.7075;4504.4946;4571.9287;4521.583;4534.6416;4591.1675;4674.2124;4662.8433;4648.3516;4709.148;4735.163;4754.233;4784.37;4846.4917;4839.433;4850.9224;4847.3735;4932.8706;

Sample;Average
Sample 0;3892.0425
Sample 1;4349.452
Sample 2;4373.229
Sample 3;4631.109
Sample 4;4646.1064
Sample 5;4715.235
Sample 6;4471.4917
Sample 7;4332.568
Sample 8;4375.075
Sample 9;4932.7056

Total max:;4932.7056;
Total average:;4471.9014;
