Timestamp:;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;
Sample 0;177.61296;1287.3765;2002.269;2658.9365;2905.572;3107.0657;3342.2246;3506.6572;3733.3801;3790.6157;3869.0588;3929.1575;3820.3367;3666.7546;3596.3704;3662.143;3753.6697;3864.1255;3870.3494;3897.1033;3967.3594;3966.8533;3822.1267;3757.7793;3734.3967;3672.9143;3645.8103;3616.8599;3594.54;3582.8555;3592.2615;3617.0085;3664.5964;3716.6487;3725.132;3758.6936;3794.8472;3841.701;3850.98;3862.3591;3819.327;3801.4443;3762.6318;3745.308;3764.14;3801.1902;3842.5398;3889.797;
Sample 1;1128.9618;1601.8113;1708.9326;2198.3655;2785.7798;2748.3818;2918.4253;3249.6575;3483.4844;3639.7468;3755.7563;3845.3735;3942.3855;4011.5488;3949.0078;4025.637;4115.9165;4136.903;4161.6943;4231.233;4244.154;4298.4907;4347.397;4364.9067;4377.033;4408.229;4546.219;4435.4736;4389.9517;4402.508;4343.4185;4316.951;4252.7505;4241.4043;4188.973;4169.6387;4191.2983;4213.1616;4147.1113;4113.073;4139.056;4164.2085;4215.4263;
Sample 2;1395.0316;1952.8875;2815.5579;2651.0293;2647.6677;2682.3845;2891.1724;2776.9824;2683.2673;2660.0964;2781.473;2816.4429;2934.642;3049.731;3235.5652;3382.687;3499.3723;3576.0605;3680.6511;3770.6152;3850.7075;3957.6663;3820.491;3731.75;3667.1958;3628.8523;3631.9373;3680.0254;3729.862;3746.612;3796.0784;3854.9563;3892.5212;3947.9094;4002.5151;4040.9043;4025.9111;3972.5032;3927.4385;3888.7659;3886.2888;3848.6616;3790.071;3785.093;3823.3806;3864.7292;3881.7031;3843.5593;3805.3735;
Sample 3;1505.1694;2329.0327;2734.3433;2948.538;2836.9387;2942.6758;3254.6506;3469.6084;3295.6628;3108.7986;3121.7756;3291.4417;3419.9858;3584.2642;3628.6208;3714.7253;3776.8535;3914.5674;3976.946;4029.5725;4060.906;4095.964;4267.5454;4195.4272;4134.9707;4101.811;4066.0635;4070.0676;4107.76;4170.882;4217.299;4227.171;4254.64;4270.72;4348.131;4296.939;4298.3545;4311.773;4352.865;4329.8125;4352.2983;4376.3228;4419.278;
Sample 4;1305.2396;2011.9639;1951.9131;2365.3672;2849.742;2976.395;3177.2085;3413.5452;3682.113;3851.9727;3951.3198;4114.4316;4179.1245;4320.6655;4349.006;4219.084;4203.9985;4150.544;4143.7056;4213.054;4295.5547;4358.3975;4415.0347;4482.195;4498.251;4479.323;4384.997;4299.577;4222.05;4193.11;4121.573;4124.8774;4175.839;4130.067;4076.2454;4020.2598;3936.151;3920.1865;3874.2524;3871.9795;3899.6965;3936.0942;3943.517;3969.7793;4004.6238;4055.723;
Sample 5;1129.5477;1831.3807;1892.5527;2361.1382;2850.2676;2956.555;3115.9543;3350.8496;3613.7427;3715.3645;3820.9377;3922.3645;4077.1626;4153.706;4232.5796;4280.3765;4271.759;4327.604;4354.4995;4399.5435;4302.1357;4275.691;4306.392;4337.396;4396.8237;4389.149;4407.1577;4435.967;4494.5366;4516.6865;4541.9883;4562.1016;4568.0635;4478.4224;4441.7676;4445.469;4485.126;4470.689;4470.517;4488.822;4509.955;4553.166;
Sample 6;1166.3745;2142.5762;2084.475;2448.2065;2495.3076;2630.389;2956.5708;3317.8374;3592.8608;3734.8667;3831.5293;3974.3838;3999.2568;4051.6558;4096.136;4149.168;4159.253;4352.5874;4317.0713;4211.6465;4123.7397;4118.66;4180.8267;4243.388;4330.8594;4349.521;4380.457;4400.944;4414.743;4420.988;4417.184;4401.026;4433.732;4559.577;4503.7236;4503.6353;4536.7397;4581.76;4619.134;
Sample 7;1206.2432;2028.7001;3003.5286;3711.3457;3803.2917;3936.7937;4161.6016;4175.1094;4261.0938;4353.4707;4402.67;4396.5015;4390.7915;4606.0664;4553.6665;4464.336;4466.816;4477.869;4420.537;4293.298;4268.045;4302.604;4340.162;4389.7324;4349.7896;4372.5137;4414.0356;4483.286;4506.4536;4542.6455;4575.089;4581.964;4622.7173;4673.8525;4583.2754;4529.835;4535.187;4544.3267;4581.4883;4521.0073;4461.5884;4412.1562;
Sample 8;1116.3838;1882.7283;2916.2078;3603.1604;3561.8896;3720.6646;3957.7502;3709.3286;3436.352;3399.126;3514.42;3685.92;3905.632;3930.1365;3957.4688;4031.5906;4120.8267;4209.7485;4159.313;4203.0483;4242.1577;4229.2524;4224.149;4280.557;4343.23;4355.6934;4379.924;4411.9595;4454.52;4466.0273;4484.169;4403.9155;4354.8623;4302.761;4285.427;4319.625;4345.384;4384.553;4377.3047;4402.4565;4419.6416;4472.6646;
Sample 9;1492.1171;2245.6274;3320.7412;3252.4753;3365.57;3816.8777;4192.7847;4359.3057;4443.4854;4538.121;4661.1465;4792.2285;4646.9595;4670.052;4542.1475;4514.005;4612.3667;4740.2905;4746.298;4789.316;4813.966;4888.906;4897.9526;4817.659;4734.9297;4676.1226;4570.122;4477.586;4399.2905;4325.762;4254.0835;4216.672;4224.0093;4192.9556;4132.073;4117.1494;4142.131;4188.834;4234.9355;4242.237;4184.928;4173.174;4129.876;4113.3203;4124.625;

Sample;Average
Sample 0;3897.7844
Sample 1;4243.9956
Sample 2;3783.4863
Sample 3;4455.0176
Sample 4;4103.069
Sample 5;4565.6475
Sample 6;4641.308
Sample 7;4400.9434
Sample 8;4497.0195
Sample 9;4144.4766

Total max:;4641.308;
Total average:;4273.2744;
