Timestamp:;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;
Sample 0;303.7089;1088.4187;1603.2676;2230.007;2837.9163;2988.605;3138.8389;3346.438;3499.9568;3538.6028;3653.0928;3701.2437;3761.2966;3769.0427;3596.6448;3611.083;3680.3887;3744.0127;3839.2678;3804.6704;3787.8735;3809.8137;3894.6946;3904.6577;3943.8083;3978.4067;4008.8145;4026.534;4047.0964;4052.5396;4061.585;4106.857;4128.58;4064.1492;4023.6433;3993.3926;3957.8767;3900.2305;3882.9436;3856.7703;3811.886;3766.4854;3726.044;3704.5999;3714.4197;3688.2002;3689.2708;3717.037;3750.3865;3788.1318;
Sample 1;1259.0693;1916.8978;2966.4216;3614.9773;3547.3625;3676.2795;3859.651;4083.9644;4065.074;4193.867;4255.8174;4340.149;4319.2188;4337.453;4346.5264;4482.2417;4635.0303;4526.3496;4394.965;4350.636;4377.1816;4216.185;4112.484;4018.9907;3940.6152;3922.7297;3960.9963;4030.7268;4014.963;4027.6477;4091.63;4152.2583;4151.852;4170.732;4198.095;4225.7124;4216.369;4219.813;4239.4116;4407.066;4346.564;4335.45;4358.5645;4388.657;
Sample 2;1155.1294;2080.1438;3080.3687;3674.0386;3790.0208;3868.0176;4083.5588;4397.8125;4470.7896;4509.0674;4581.7104;4632.108;4612.5835;4638.809;4685.586;4738.562;4841.6606;4747.072;4610.5527;4568.623;4482.6714;4435.8276;4494.5073;4553.953;4541.2964;4530.062;4557.408;4619.2764;4614.795;4597.8506;4575.5615;4643.569;4724.783;4655.1943;4582.005;4507.3677;4464.5874;4404.3906;4383.87;4411.381;4467.1943;4511.4297;
Sample 3;1330.0267;2176.7664;2099.588;2479.9902;2540.9722;2691.3054;3146.6736;3460.318;3714.883;3773.6484;3837.4812;3938.1416;3973.066;3981.3594;4163.4966;4133.274;3961.6582;3892.0266;3904.364;3963.9902;4025.3833;4080.9968;4067.1396;4077.177;4112.3105;4181.3374;4190.7485;4202.2515;4221.9595;4215.682;4198.6763;4200.22;4296.9883;4381.641;4363.259;4378.53;4397.434;4362.9614;4350.6167;4368.4233;4410.836;4440.58;
Sample 4;1125.8379;2077.6719;3002.3638;3551.0706;3462.26;3610.994;3767.211;4050.8145;4138.8223;3957.2532;3781.5876;3711.57;3608.825;3576.8535;3531.5713;3533.8337;3621.1846;3716.747;3818.053;3850.3833;3882.506;3930.423;4031.3376;4074.9558;4113.901;4150.4336;4195.869;4088.8464;4051.0857;4076.6196;4121.2515;4165.6973;4190.7397;4213.2183;4187.9937;4135.264;4064.1248;4045.1592;4066.7427;4114.374;4157.3276;4170.2734;4188.639;4199.969;4222.7603;4298.872;
Sample 5;1229.4766;2258.9448;3216.1292;2933.0793;2825.0942;2915.062;3305.5942;3657.3018;3931.7292;4049.3625;4178.9106;4266.175;4297.5493;4359.3813;4427.1826;4507.505;4646.592;4477.63;4381.221;4375.962;4328.715;4330.27;4404.1875;4481.3726;4516.2705;4534.8965;4589.516;4628.187;4697.7563;4738.9707;4772.1333;4786.822;4811.773;4723.515;4651.6855;4592.1816;4557.1636;4491.3525;4427.464;4372.583;4358.776;4371.5283;4390.2354;
Sample 6;1340.1233;2117.1582;2065.7996;2421.8118;2888.5127;2631.4917;2713.2366;2988.459;3253.978;3524.1458;3624.4292;3695.8066;3854.6167;3986.4368;4090.0278;4270.858;4379.93;4474.2173;4330.16;4294.9233;4195.4575;4128.2983;4120.2524;4172.8237;4086.928;4007.1782;3941.1523;3943.0051;3906.554;3921.4988;3978.15;4044.8755;4083.117;4127.23;4182.331;4247.264;4270.6616;4325.066;4339.3843;4276.678;4249.5273;4273.8364;4314.4805;4352.6694;
Sample 7;1004.99426;2215.8428;2178.076;2624.6025;2668.5376;2875.2532;3279.3667;3633.218;3997.9082;4056.117;4146.2476;4220.783;4232.6753;4264.5938;4281.007;4318.256;4401.787;4576.3467;4591.7812;4617.9575;4544.199;4511.9077;4568.4326;4658.5093;4646.013;4660.2603;4677.1553;4680.2334;4684.7207;4671.0825;4678.77;4658.706;4634.0493;4726.9106;4800.5166;4740.6016;4711.7007;4646.471;4580.014;4515.757;4490.816;4509.1274;
Sample 8;1313.315;2161.9392;2927.038;3533.835;3633.5996;3686.4685;3919.0806;4245.489;4328.569;4436.313;4493.867;4438.187;4458.9624;4551.9556;4608.752;4414.6646;4353.0825;4383.364;4421.8184;4471.521;4450.9316;4457.535;4465.2573;4548.69;4570.2495;4590.1763;4619.8315;4656.132;4671.9346;4678.043;4725.9785;4607.7563;4522.3584;4451.612;4403.435;4364.3286;4319.3535;4322.1455;4347.9673;4332.3716;4332.8247;4369.484;4403.32;
Sample 9;1339.8868;2101.997;3079.1372;3567.6458;3634.7898;3769.998;3881.607;4122.945;4168.963;4310.576;4407.919;4436.4673;4590.359;4471.3164;4385.1646;4264.451;4145.826;4111.2075;4203.53;4271.0645;4324.6826;4373.75;4390.176;4407.482;4438.6055;4507.8467;4431.733;4436.704;4473.318;4467.1514;4475.593;4487.3555;4491.169;4507.9253;4495.2856;4504.685;4542.53;4548.258;4515.1504;4518.069;4532.392;

Sample;Average
Sample 0;3825.8184
Sample 1;4410.8438
Sample 2;4543.668
Sample 3;4461.189
Sample 4;4301.0474
Sample 5;4406.888
Sample 6;4388.9966
Sample 7;4535.816
Sample 8;4447.518
Sample 9;4550.139

Total max:;4550.139;
Total average:;4387.1924;
