Timestamp:;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;
Sample 0;178.12407;1115.8905;1754.6146;2324.1482;2870.7278;2973.574;3249.0872;3522.3074;3728.979;3675.0671;3911.0332;3746.821;3720.0837;3777.576;3670.345;3648.485;3636.4114;3724.1104;3828.6228;3841.4607;3898.4092;3946.156;3957.0415;3856.4062;3779.3586;3820.5715;3877.2874;3940.9304;3918.0693;3937.7896;3964.1802;3981.2766;3973.9534;3990.3474;3989.9763;4008.59;4064.2317;3981.1833;3939.5361;3938.0332;3935.0596;3967.8987;3937.536;3934.9114;3949.9497;4003.1973;4049.2988;
Sample 1;1053.0402;1680.261;2686.9875;3434.6162;2934.3208;2755.0742;2630.1511;2563.665;2672.2346;2885.2996;3097.5889;2939.057;2893.3352;3028.8044;3179.9622;3337.3657;3388.9922;3452.404;3564.947;3649.5354;3739.5632;3789.8218;3877.086;3890.5127;3982.4736;3913.522;3848.2769;3804.0662;3821.9116;3820.101;3861.2058;3905.1558;3969.6902;4001.8357;3930.9438;3934.1099;3950.8193;3904.1829;3854.2007;3844.4968;3889.57;3940.9272;3995.0173;4025.2986;4049.0374;4074.662;4133.508;
Sample 2;1386.5288;2120.1816;2054.2375;2413.5417;2912.313;2938.946;2998.2969;3338.3916;3640.1045;3648.1619;3762.4846;3885.9282;4106.382;4177.3545;4287.0967;4375.1064;4452.344;4363.2793;4295.1895;4347.0796;4246.2246;4227.2246;4156.537;4122.4307;4197.288;4291.7803;4285.4604;4315.0996;4365.1953;4451.261;4474.507;4524.2656;4566.4976;4600.3457;4507.719;4490.908;4508.1455;4543.699;4514.965;4500.542;4542.912;4577.488;
Sample 3;1054.3564;1978.1285;2825.2354;3405.4998;3493.6392;3635.4739;3809.8127;4094.2578;4130.584;4270.6284;4335.0464;4463.1274;4493.28;4486.296;4612.419;4450.2593;4404.4766;4442.5576;4489.6924;4558.9824;4550.427;4530.9004;4580.9087;4661.3726;4687.1445;4704.514;4724.2275;4696.068;4700.2734;4706.466;4715.618;4910.446;4807.4873;4754.6733;4727.6167;4651.4277;4568.1035;4511.2207;4458.4575;4444.916;4453.0728;4473.453;4495.162;
Sample 4;1548.9805;1611.1583;1701.4498;1761.2299;2075.3909;2304.074;2670.9202;3067.5244;3066.7075;2958.6812;2881.445;2852.0386;2878.4646;3110.6216;3075.1343;3001.7295;2938.7737;2902.7192;2939.9282;3061.0815;3065.0776;3015.0767;3031.8303;3013.6318;3041.978;3129.5947;3130.206;3090.4229;3086.7412;3076.5432;3099.8691;3169.9194;3247.0132;3323.6003;3340.9692;3399.4893;3456.2454;3529.9172;3592.3396;3648.375;3663.5376;3608.2908;3579.868;3581.7495;3572.8062;3538.8877;3503.2031;3486.7705;3503.0386;3491.9587;3476.8816;3463.2021;3475.1343;3502.1602;3528.386;
Sample 5;1321.879;2317.5876;3197.1812;3771.3647;3829.3132;3960.875;4235.777;4472.143;4566.4126;4697.416;4719.919;4721.8945;4797.0073;4857.601;4901.074;4701.4297;4620.424;4637.1064;4669.5444;4534.25;4425.137;4389.428;4441.2;4474.6567;4565.155;4562.788;4594.359;4621.606;4608.563;4640.598;4653.7407;4662.8115;4736.1963;4648.9585;4570.595;4551.212;4485.067;4473.36;4437.355;4422.2295;4446.437;4502.5303;4548.6616;
Sample 6;1179.9281;2138.9583;2077.5818;2426.8435;2948.8835;3077.3008;3259.796;3514.0425;3834.1042;3871.1318;3993.2007;4130.3726;4192.4814;4250.8076;4288.4443;4371.158;4370.8184;4233.1733;4213.2334;4248.451;4303.714;4299.2476;4328.361;4361.2417;4413.092;4455.1914;4498.4365;4538.9863;4568.9307;4588.0576;4496.995;4420.6387;4349.94;4273.9814;4249.411;4253.5776;4199.871;4189.6914;4208.8623;4208.906;4222.484;4232.885;4267.281;4320.3613;
Sample 7;1340.0642;2357.4133;3409.909;2888.8672;2915.988;3323.4233;3659.2292;3943.3374;3991.6018;4037.1272;4133.343;4234.293;4242.7197;4219.0225;4262.049;4482.2476;4623.775;4540.4023;4522.9985;4561.887;4519.2446;4503.1895;4559.3564;4602.448;4618.811;4631.414;4637.639;4640.1123;4627.5547;4610.083;4657.142;4782.0796;4710.009;4680.6895;4705.4355;4737.0664;4724.9326;4730.531;4735.1914;4742.144;
Sample 8;968.9751;2060.2197;2916.5276;3515.4697;3572.0151;3697.8716;3965.1843;4240.6235;4244.1616;4334.8247;4408.404;4490.1064;4460.941;4473.2407;4596.8906;4687.4;4513.651;4433.0557;4489.7744;4547.813;4522.351;4519.9814;4553.58;4636.0635;4617.67;4631.1304;4644.036;4665.331;4644.7637;4630.2773;4612.435;4671.358;4761.1655;4739.5957;4733.547;4683.88;4611.8213;4567.9795;4583.3813;4605.1245;4642.897;4675.2217;
Sample 9;1257.7476;2202.7678;3160.4026;3797.0693;3851.3398;4020.8047;4208.9717;4314.7393;4453.6294;4531.477;4544.5967;4590.8716;4663.2827;4744.421;4745.559;4547.193;4455.511;4431.2905;4491.5034;4573.6772;4577.0938;4602.9844;4634.945;4705.202;4701.436;4742.49;4787.3975;4812.39;4831.268;4732.64;4644.5264;4611.797;4527.798;4499.344;4504.9854;4452.179;4424.44;4369.883;4350.759;4286.527;4259.3203;4284.9297;4307.683;4255.314;4210.968;4209.1772;

Sample;Average
Sample 0;4061.4497
Sample 1;4157.8833
Sample 2;4638.391
Sample 3;4520.5605
Sample 4;3548.358
Sample 5;4570.7705
Sample 6;4335.376
Sample 7;4816.747
Sample 8;4684.3125
Sample 9;4226.418

Total max:;4816.747;
Total average:;4356.0264;
