Timestamp:;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;
Sample 0;209.86441;908.5324;1680.5331;2253.3223;2865.685;3065.5034;3326.8325;3479.7607;3637.202;3641.9258;3811.6553;3870.5852;3731.8457;3613.6846;3486.7673;3443.8308;3428.6536;3343.979;3274.6404;3306.1255;3386.9944;3352.4238;3373.2744;3411.2107;3484.9226;3584.6772;3614.2214;3668.4126;3670.979;3685.5774;3630.2083;3615.6755;3580.1306;3532.8665;3492.2192;3489.4917;3524.7517;3515.2493;3510.3408;3484.37;3444.7498;3411.0046;3409.9805;3384.2324;3373.4912;3419.3264;3465.9565;3524.1238;3533.565;3554.4124;3595.5073;3634.3735;
Sample 1;965.7493;1940.9103;2889.627;3459.314;3394.677;3470.759;3721.3154;3953.2798;3947.096;4045.7783;4048.918;4139.091;4101.078;4089.4033;4086.6033;4383.637;4463.034;4543.8633;4566.0747;4621.2197;4547.641;4533.464;4575.126;4647.6313;4654.2163;4666.8457;4667.987;4738.001;4713.65;4660.083;4583.958;4550.7876;4564.6772;4538.441;4514.4272;4564.4546;4620.213;4532.7637;4464.697;4403.9937;4383.9575;4393.8184;4338.312;4323.0015;
Sample 2;1139.7314;1920.4883;1958.4066;2387.5388;2855.9998;2891.5417;3006.9272;3338.2;3708.9612;3855.0618;3958.5596;4095.428;4219.6646;4287.236;4346.02;4460.752;4571.617;4407.0264;4282.0693;4166.553;4150.5044;4194.4873;4065.1953;4024.8826;3939.148;3870.8892;3862.0796;3790.3503;3793.0134;3745.352;3725.4849;3791.1172;3852.0237;3870.983;3903.9595;3920.373;3985.1448;4026.754;4051.6997;4084.1426;4107.984;4143.1216;4153.2363;4143.7915;4094.9277;4087.0159;
Sample 3;1232.7382;2033.6637;2023.1353;1972.6582;2307.2258;2331.1062;2447.6948;2856.2412;3167.6963;3434.2776;3596.2815;3742.027;3805.7334;3867.1755;3940.296;3970.7097;4029.453;4166.801;4228.5063;4182.558;4190.9487;4176.0996;4164.7046;4207.869;4268.5825;4272.3247;4295.0664;4322.4585;4382.73;4405.581;4431.213;4438.1084;4435.7905;4430.8545;4446.1465;4532.0337;4461.3467;4429.4165;4444.0312;4461.955;4500.0376;
Sample 4;1475.7244;2275.629;3228.225;3813.9927;3751.7227;3894.5996;4247.1104;4399.4272;4530.4644;4652.5654;4848.0747;4901.489;5017.6206;4898.2236;4667.0664;4563.5137;4405.683;4365.593;4393.9785;4454.0127;4443.2217;4448.683;4486.9497;4532.7075;4512.681;4555.374;4577.648;4596.083;4601.8403;4643.968;4699.2686;4653.8003;4556.8594;4505.33;4441.2285;4428.371;4444.213;4469.4155;4459.6772;4464.4873;4469.0723;4506.397;4542.9683;
Sample 5;1531.5934;2268.4084;3039.058;3541.5217;3688.1963;3785.6177;4069.858;4336.895;4427.5703;4499.1353;4555.178;4642.8486;4593.851;4465.746;4311.4766;4277.221;4311.348;4268.815;4273.611;4351.2637;4437.9624;4444.389;4502.8394;4552.3013;4593.937;4638.3936;4663.1733;4664.1143;4740.93;4692.6846;4679.24;4699.927;4677.335;4669.948;4684.2085;4730.003;4760.569;4782.6763;4815.7397;4846.6807;
Sample 6;1278.8271;2130.1885;2082.8032;2463.3967;2553.7983;2717.5007;3188.4844;3532.5051;3823.1301;3859.3623;3977.543;4145.1714;4208.412;4312.713;4390.38;4426.877;4448.4106;4498.1245;4583.7236;4448.728;4340.404;4287.094;4349.6797;4423.04;4331.2217;4245.61;4229.1294;4276.772;4344.9683;4423.8057;4441.0244;4499.048;4506.191;4448.333;4369.3384;4372.987;4413.732;4474.8237;4471.227;4521.374;4561.1025;4609.1685;
Sample 7;1432.5745;2243.306;3053.1213;3635.9893;3641.329;3882.112;4109.7935;4344.8086;4093.966;4030.5325;4090.0366;4285.063;4242.372;4273.457;4379.159;4512.249;4546.5483;4605.765;4634.0405;4659.114;4689.7627;4700.2646;4811.0723;4857.844;4769.709;4667.2314;4636.5005;4651.0215;4607.206;4596.451;4645.944;4694.503;4682.063;4683.867;4717.3145;4729.468;4743.029;4760.143;4795.658;
Sample 8;1460.918;2257.0117;3066.023;3646.2385;3693.3865;3886.0872;4032.6511;4309.601;4432.029;4561.622;4671.82;4730.1436;4838.672;4631.356;4452.944;4290.4917;4242.136;4159.585;4134.955;4202.4805;4296.939;4323.49;4346.1816;4404.535;4486.695;4523.8364;4557.414;4633.194;4633.2637;4593.2646;4529.2373;4534.092;4567.9053;4556.6284;4563.3604;4580.6396;4643.19;4647.678;4670.09;4696.212;4733.8066;
Sample 9;1278.6725;2100.5818;2938.2961;3485.7002;3614.263;3729.46;3933.9067;4119.3687;4136.0596;4218.92;4264.0522;4316.165;4417.099;4374.114;4350.751;4366.8555;4299.2163;4279.9653;4293.2373;4355.1973;4378.9844;4408.02;4433.453;4450.6763;4457.948;4470.2383;4508.344;4493.8286;4382.873;4336.236;4354.396;4382.301;4415.4863;4398.3965;4401.335;4446.428;4494.295;4484.558;4491.2;4509.8867;

Sample;Average
Sample 0;3678.2085
Sample 1;4332.99
Sample 2;4103.6836
Sample 3;4521.4907
Sample 4;4552.8115
Sample 5;4868.7983
Sample 6;4559.132
Sample 7;4844.2686
Sample 8;4761.3945
Sample 9;4592.8022

Total max:;4868.7983;
Total average:;4481.5576;
